cdid,DIRECTION,BPM6,PRICE,SEASADJ
KTMQ,EX,0,CP,NSA
MTN4,EX,1+2,CP,NSA
FJOJ,EX,3.2.1,CP,NSA
FJPD,EX,3.9+3.10.N1,CP,NSA
MTN7,EX,1+2,CP,SA
MEX3,EX,1,CP,NSA
MEX4,EX,1.1,CP,NSA
MEY3,EX,2,CP,NSA
FJOD,EX,3,CP,NSA
MUD3,EX,3.1RW,CP,NSA
FJOE,EX,3.1,CP,NSA
FJOF,EX,3.1.1,CP,NSA
FJAL,EX,3.1.1.N1,CP,NSA
FJAM,EX,3.1.1.N2,CP,NSA
FJOG,EX,3.1.2,CP,NSA
FJNH,EX,3.1.2.N1,CP,NSA
HECV,EX,3.1.2.N11,CP,NSA
HDVI,EX,3.1.2.N12,CP,NSA
FJAO,EX,3.1.2.N13,CP,NSA
FJNK,EX,3.1.2.N2,CP,NSA
HEIX,EX,3.1.2.N21,CP,NSA
HECX,EX,3.1.2.N22,CP,NSA
FJAP,EX,3.1.2.N23,CP,NSA
FJAR,EX,3.1.3,CP,NSA
CV4Q,EX,3.1.3.N31,CP,NSA
CV4R,EX,3.1.3.N32,CP,NSA
CV4S,EX,3.1.3.N33,CP,NSA
CV4T,EX,3.1.3.N34,CP,NSA
CV4U,EX,3.1.3.N35,CP,NSA
FJOI,EX,3.2,CP,NSA
FJOK,EX,3.2.2,CP,NSA
FJOL,EX,3.2.3,CP,NSA
FJAX,EX,3.2.3.N1,CP,NSA
HBWB,EX,3.2.3.N2,CP,NSA
FJOM,EX,3.3,CP,NSA
FJON,EX,3.3.1,CP,NSA
FJOS,EX,3.6.1,CP,NSA
FJOW,EX,3.7.1,CP,NSA
FJPA,EX,3.8.1,CP,NSA
FJOO,EX,3.3.2,CP,NSA
FJOT,EX,3.6.2,CP,NSA
FJOX,EX,3.7.2,CP,NSA
FJPB,EX,3.8.2,CP,NSA
MU97,EX,3.9,CP,NSA
FJOP,EX,3.3.3,CP,NSA
FJOU,EX,3.6.3,CP,NSA
FJBK,EX,3.7.3,CP,NSA
FJPC,EX,3.8.3,CP,NSA
FJOQ,EX,3.5,CP,NSA
MEY4,EX,3.1,CP,NSA
MEY5,EX,3.10.N1,CP,NSA
FJPE,EX,3.11,CP,NSA
FJED,EX,3.4,CP,NSA
FJTN,EX,3.4.N1,CP,NSA
FJEB,EX,3.4.N11,CP,NSA
FJBB,EX,3.4.N12,CP,NSA
FSPH,EX,3.4.N13,CP,NSA
FJTO,EX,3.4.N2,CP,NSA
FJEC,EX,3.4.N21,CP,NSA
FKJB,EX,3.4.N22,CP,NSA
FJPF,EX,4,CP,NSA
FJPG,EX,4.1,CP,NSA
FJCQ,EX,4.1.1,CP,NSA
FJNO,EX,4.1.2,CP,NSA
FJTU,EX,4.2,CP,NSA
FJCX,EX,4.2.1,CP,NSA
FJDD,EX,4.2.2,CP,NSA
FJDG,EX,4.2.3,CP,NSA
DSOW,EX,4.2.3.N3,CP,NSA
DSOX,EX,4.2.3.N4,CP,NSA
DSOY,EX,4.2.3.N5,CP,NSA
MUD4,EX,4.2.3.N6,CP,NSA
FJPI,EX,5,CP,NSA
FJEK,EX,5.1,CP,NSA
E9UG,EX,5.2,CP,NSA
FJPJ,EX,6,CP,NSA
MSH9,EX,6.1,CP,NSA
FJEU,EX,6.1.1,CP,NSA
FJJL,EX,6.1.2,CP,NSA
MUD5,EX,6.1.2.N1,CP,NSA
RVCE,EX,6.1.3,CP,NSA
MUD6,EX,6.1.3.N1,CP,NSA
MUD7,EX,6.1.3.N2,CP,NSA
FJEX,EX,6.2,CP,NSA
FJEY,EX,6.3,CP,NSA
MSI2,EX,6.4,CP,NSA
FJJJ,EX,6.4.1,CP,NSA
MUB5,EX,6.4.2,CP,NSA
C9NI,EX,7XF,CP,NSA
FJPK,EX,7,CP,NSA
C9NI,EX,7.1,CP,NSA
FNMM,EX,7.1.N1,CP,NSA
ZXTF,EX,7.1.N2,CP,NSA
CDFI,EX,7.1.N21,CP,NSA
QZCM,EX,7.1.N22,CP,NSA
APRJ,EX,7.1.N3,CP,NSA
ZXTE,EX,7.1.N4,CP,NSA
APUP,EX,7.1.N411,CP,NSA
APVA,EX,7.1.N412,CP,NSA
E8E6,EX,7.1.N4121,CP,NSA
E8E7,EX,7.1.N4122,CP,NSA
E8E8,EX,7.1.N4123,CP,NSA
ZSHJ,EX,7.1.N5,CP,NSA
FJFH,EX,7.1.N511,CP,NSA
FJGA,EX,7.1.N512,CP,NSA
HCGK,EX,7.1.N513,CP,NSA
FJWZ,EX,7.1.N514,CP,NSA
RWME,EX,7.1.N515,CP,NSA
C6FD,EX,7F,CP,NSA
TGWM,EX,7.2.N12,CP,NSA
LOFR,EX,7.2.N121,CP,NSA
TGWP,EX,7.2.N13,CP,NSA
LOFU,EX,7.2.N131,CP,NSA
FJPM,EX,8,CP,NSA
EAI5,EX,8.1,CP,NSA
EAI7,EX,8.2,CP,NSA
FJFN,EX,8.3,CP,NSA
FJFO,EX,8.4,CP,NSA
MEY6,EX,8.4.N1,CP,NSA
MEY7,EX,8.4.N2,CP,NSA
FJPL,EX,9,CP,NSA
FJEF,EX,9.1,CP,NSA
FJFJ,EX,9.2,CP,NSA
FJCO,EX,9.3,CP,NSA
FJFK,EX,9.3.1,CP,NSA
MUC3,EX,9.3.2,CP,NSA
E9UO,EX,9.3.N21,CP,NSA
TVLM,EX,9.3.N22,CP,NSA
FJPN,EX,10,CP,NSA
FJDP,EX,10.1,CP,NSA
FJGR,EX,10.1.1,CP,NSA
FKLT,EX,10.1.1.1,CP,NSA
MUC6,EX,10.1.1.2,CP,NSA
FJPQ,EX,10.2,CP,NSA
FJGL,EX,10.2.1,CP,NSA
FJGF,EX,10.2.1.1,CP,NSA
FJGD,EX,10.2.1.N11,CP,NSA
FJGE,EX,10.2.1.N12,CP,NSA
FJCP,EX,10.2.1.N13,CP,NSA
FJDN,EX,10.2.1.N14,CP,NSA
