cdid,COMMODITY,AREA,DIRECTION,BASIS,PRICE,SEASADJ
SIXY,56plus59,EU,IM,BOP,VM,SA
SFKJ,7plus8,EU,IM,BOP,VM,SA
SDVK,2plus4,EU,IM,BOP,VM,SA
SMXE,84plus85,EU,IM,BOP,VM,SA
SMGK,04plus08,EU,IM,BOP,VM,SA
SMAK,87plus88C,EU,IM,BOP,VM,SA
SMEK,87plus88K,EU,IM,BOP,VM,SA
SDDX,TminusE,EU,IM,BOP,VM,SA
SHCO,TminusOE,EU,IM,BOP,VM,SA
SGFO,792and3,EU,IM,BOP,VM,SA
SFKP,7plus8,RW,BAL,BOP,CP,NSA
SDVV,2plus4,RW,BAL,BOP,CP,NSA
SGNA,5minus8,RW,BAL,BOP,CP,NSA
SETX,5plus6,RW,BAL,BOP,CP,NSA
SDPU,0plus1,RW,BAL,BOP,CP,NSA
LKVK,TminusO,RW,BAL,BOP,CP,NSA
SFKU,7plus8,RW,BAL,BOP,CP,SA
SDVX,2plus4,RW,BAL,BOP,CP,SA
SGNB,5minus8,RW,BAL,BOP,CP,SA
SETY,5plus6,RW,BAL,BOP,CP,SA
SDPW,0plus1,RW,BAL,BOP,CP,SA
SDED,TminusE,RW,BAL,BOP,CP,SA
LKVL,TminusO,RW,BAL,BOP,CP,SA
SHCV,TminusOE,RW,BAL,BOP,CP,SA
SGFZ,792and3,RW,BAL,BOP,CP,SA
LKWY,TminusO,RW,BAL,BOP,DEF,NSA
SIWM,57plus58,RW,EX,OTS,CP,NSA
SFLJ,7plus8,RW,EX,OTS,CP,NSA
SDWC,2plus4,RW,EX,OTS,CP,NSA
SMZS,87plus88,RW,EX,OTS,CP,NSA
SMCY,87plus88I,RW,EX,OTS,CP,NSA
SJUK,68minusS,RW,EX,OTS,CP,NSA
LKWA,TminusO,RW,EX,OTS,CP,NSA
SIYM,56plus59,RW,EX,OTS,CP,NSA
SGNP,5minus8,RW,EX,OTS,CP,NSA
SEUM,5plus6,RW,EX,OTS,CP,NSA
SFPQ,7plus8C,RW,EX,OTS,CP,NSA
SFVA,7plus8I,RW,EX,OTS,CP,NSA
SGAK,7plus8K,RW,EX,OTS,CP,NSA
SMXS,84plus85,RW,EX,OTS,CP,NSA
SDQB,0plus1,RW,EX,OTS,CP,NSA
SMAY,87plus88C,RW,EX,OTS,CP,NSA
SMGY,04plus08,RW,EX,OTS,CP,NSA
SMEY,87plus88K,RW,EX,OTS,CP,NSA
SDER,TminusE,RW,EX,OTS,CP,NSA
SHDK,TminusOE,RW,EX,OTS,CP,NSA
SEYG,6minusPS,RW,EX,OTS,CP,NSA
SMRE,71minus77,RW,EX,OTS,CP,NSA
SGGE,792and3,RW,EX,OTS,CP,NSA
SIWO,57plus58,RW,EX,OTS,CVM,NSA
SFLM,7plus8,RW,EX,OTS,CVM,NSA
SDWD,2plus4,RW,EX,OTS,CVM,NSA
SMZU,87plus88,RW,EX,OTS,CVM,NSA
SMDA,87plus88I,RW,EX,OTS,CVM,NSA
SJUM,68minusS,RW,EX,OTS,CVM,NSA
LKWD,TminusO,RW,EX,OTS,CVM,NSA
SIYO,56plus59,RW,EX,OTS,CVM,NSA
SGNS,5minus8,RW,EX,OTS,CVM,NSA
SEUP,5plus6,RW,EX,OTS,CVM,NSA
SFPR,7plus8C,RW,EX,OTS,CVM,NSA
SFVB,7plus8I,RW,EX,OTS,CVM,NSA
SGAL,7plus8K,RW,EX,OTS,CVM,NSA
SMXU,84plus85,RW,EX,OTS,CVM,NSA
SDQC,0plus1,RW,EX,OTS,CVM,NSA
SMBA,87plus88C,RW,EX,OTS,CVM,NSA
SMHA,04plus08,RW,EX,OTS,CVM,NSA
SMFA,87plus88K,RW,EX,OTS,CVM,NSA
SDEU,TminusE,RW,EX,OTS,CVM,NSA
SHDN,TminusOE,RW,EX,OTS,CVM,NSA
SEYH,6minusPS,RW,EX,OTS,CVM,NSA
SGGF,792and3,RW,EX,OTS,CVM,NSA
SIWN,57plus58,RW,EX,OTS,KQ,NSA
SFLL,7plus8,RW,EX,OTS,KQ,NSA
SDWE,2plus4,RW,EX,OTS,KQ,NSA
SMZT,87plus88,RW,EX,OTS,KQ,NSA
SMCZ,87plus88I,RW,EX,OTS,KQ,NSA
SJUL,68minusS,RW,EX,OTS,KQ,NSA
LKWC,TminusO,RW,EX,OTS,KQ,NSA
SMOR,71minus77,RW,EX,OTS,KQ,NSA
SIYN,56plus59,RW,EX,OTS,KQ,NSA
SGNR,5minus8,RW,EX,OTS,KQ,NSA
SEUO,5plus6,RW,EX,OTS,KQ,NSA
SFPS,7plus8C,RW,EX,OTS,KQ,NSA
SFVC,7plus8I,RW,EX,OTS,KQ,NSA
SGAM,7plus8K,RW,EX,OTS,KQ,NSA
SMXT,84plus85,RW,EX,OTS,KQ,NSA
SMAZ,87plus88C,RW,EX,OTS,KQ,NSA
SDQD,0plus1,RW,EX,OTS,KQ,NSA
SMEZ,87plus88K,RW,EX,OTS,KQ,NSA
SMGZ,04plus08,RW,EX,OTS,KQ,NSA
SDET,TminusE,RW,EX,OTS,KQ,NSA
SHDM,TminusOE,RW,EX,OTS,KQ,NSA
SEYI,6minusPS,RW,EX,OTS,KQ,NSA
SGGG,792and3,RW,EX,OTS,KQ,NSA
SFKX,7plus8,RW,EX,BOP,CP,NSA
SDVY,2plus4,RW,EX,BOP,CP,NSA
SMXI,84plus85,RW,EX,BOP,CP,NSA
SMAO,87plus88C,RW,EX,BOP,CP,NSA
SMGO,04plus08,RW,EX,BOP,CP,NSA
SMEO,87plus88K,RW,EX,BOP,CP,NSA
LKVP,TminusO,RW,EX,BOP,CP,NSA
SMQU,71minus77,RW,EX,BOP,CP,NSA
SIWC,57plus58,RW,EX,BOP,CP,NSA
SGNE,5minus8,RW,EX,BOP,CP,NSA
SEUB,5plus6,RW,EX,BOP,CP,NSA
SFPM,7plus8C,RW,EX,BOP,CP,NSA
SFUW,7plus8I,RW,EX,BOP,CP,NSA
SGAG,7plus8K,RW,EX,BOP,CP,NSA
SDPX,0plus1,RW,EX,BOP,CP,NSA
SMZI,87plus88,RW,EX,BOP,CP,NSA
SMCO,87plus88I,RW,EX,BOP,CP,NSA
SJUA,68minusS,RW,EX,BOP,CP,NSA
SDEG,TminusE,RW,EX,BOP,CP,NSA
SHCZ,TminusOE,RW,EX,BOP,CP,NSA
SEYC,6minusPS,RW,EX,BOP,CP,NSA
SIYC,56plus59,RW,EX,BOP,CP,NSA
SGGA,792and3,RW,EX,BOP,CP,NSA
SFKY,7plus8,RW,EX,BOP,CP,SA
SDWK,2plus4,RW,EX,BOP,CP,SA
SMXJ,84plus85,RW,EX,BOP,CP,SA
SMAP,87plus88C,RW,EX,BOP,CP,SA
SMGP,04plus08,RW,EX,BOP,CP,SA
SMEP,87plus88K,RW,EX,BOP,CP,SA
LKVQ,TminusO,RW,EX,BOP,CP,SA
SMQV,71minus77,RW,EX,BOP,CP,SA
SIWD,57plus58,RW,EX,BOP,CP,SA
SGNF,5minus8,RW,EX,BOP,CP,SA
SEUC,5plus6,RW,EX,BOP,CP,SA
SFPY,7plus8C,RW,EX,BOP,CP,SA
SFVI,7plus8I,RW,EX,BOP,CP,SA
SGAS,7plus8K,RW,EX,BOP,CP,SA
SDQL,0plus1,RW,EX,BOP,CP,SA
SMZJ,87plus88,RW,EX,BOP,CP,SA
SMCP,87plus88I,RW,EX,BOP,CP,SA
SJUB,68minusS,RW,EX,BOP,CP,SA
SDEH,TminusE,RW,EX,BOP,CP,SA
SHDA,TminusOE,RW,EX,BOP,CP,SA
SEYO,6minusPS,RW,EX,BOP,CP,SA
SIYD,56plus59,RW,EX,BOP,CP,SA
SGGM,792and3,RW,EX,BOP,CP,SA
SFLB,7plus8,RW,EX,BOP,CVM,NSA
SDVZ,2plus4,RW,EX,BOP,CVM,NSA
SMXL,84plus85,RW,EX,BOP,CVM,NSA
SMAR,87plus88C,RW,EX,BOP,CVM,NSA
SMGR,04plus08,RW,EX,BOP,CVM,NSA
SMER,87plus88K,RW,EX,BOP,CVM,NSA
LKVS,TminusO,RW,EX,BOP,CVM,NSA
SMQX,71minus77,RW,EX,BOP,CVM,NSA
SIWF,57plus58,RW,EX,BOP,CVM,NSA
SGNH,5minus8,RW,EX,BOP,CVM,NSA
SEUE,5plus6,RW,EX,BOP,CVM,NSA
SFPN,7plus8C,RW,EX,BOP,CVM,NSA
SFUX,7plus8I,RW,EX,BOP,CVM,NSA
SGAH,7plus8K,RW,EX,BOP,CVM,NSA
SDPY,0plus1,RW,EX,BOP,CVM,NSA
SMZL,87plus88,RW,EX,BOP,CVM,NSA
SMCR,87plus88I,RW,EX,BOP,CVM,NSA
SJUD,68minusS,RW,EX,BOP,CVM,NSA
SDEJ,TminusE,RW,EX,BOP,CVM,NSA
SHDC,TminusOE,RW,EX,BOP,CVM,NSA
SEYD,6minusPS,RW,EX,BOP,CVM,NSA
SIYF,56plus59,RW,EX,BOP,CVM,NSA
SGGB,792and3,RW,EX,BOP,CVM,NSA
SFLC,7plus8,RW,EX,BOP,CVM,SA
SDWO,2plus4,RW,EX,BOP,CVM,SA
SMXM,84plus85,RW,EX,BOP,CVM,SA
SMAS,87plus88C,RW,EX,BOP,CVM,SA
SMGS,04plus08,RW,EX,BOP,CVM,SA
SMES,87plus88K,RW,EX,BOP,CVM,SA
LKVT,TminusO,RW,EX,BOP,CVM,SA
SMQY,71minus77,RW,EX,BOP,CVM,SA
SIWG,57plus58,RW,EX,BOP,CVM,SA
SGNI,5minus8,RW,EX,BOP,CVM,SA
SEUF,5plus6,RW,EX,BOP,CVM,SA
SFQC,7plus8C,RW,EX,BOP,CVM,SA
SFVM,7plus8I,RW,EX,BOP,CVM,SA
SGAW,7plus8K,RW,EX,BOP,CVM,SA
SMZM,87plus88,RW,EX,BOP,CVM,SA
SDQP,0plus1,RW,EX,BOP,CVM,SA
SMCS,87plus88I,RW,EX,BOP,CVM,SA
SJUE,68minusS,RW,EX,BOP,CVM,SA
SDEK,TminusE,RW,EX,BOP,CVM,SA
SHDD,TminusOE,RW,EX,BOP,CVM,SA
SEYS,6minusPS,RW,EX,BOP,CVM,SA
SIYG,56plus59,RW,EX,BOP,CVM,SA
SGGQ,792and3,RW,EX,BOP,CVM,SA
SFLG,7plus8,RW,EX,BOP,DEF,NSA
SDWS,2plus4,RW,EX,BOP,DEF,NSA
SMXQ,84plus85,RW,EX,BOP,DEF,NSA
SMAW,87plus88C,RW,EX,BOP,DEF,NSA
SMEW,87plus88K,RW,EX,BOP,DEF,NSA
SMGW,04plus08,RW,EX,BOP,DEF,NSA
LKVX,TminusO,RW,EX,BOP,DEF,NSA
SMRC,71minus77,RW,EX,BOP,DEF,NSA
SIWK,57plus58,RW,EX,BOP,DEF,NSA
SGNM,5minus8,RW,EX,BOP,DEF,NSA
SEUJ,5plus6,RW,EX,BOP,DEF,NSA
SFQG,7plus8C,RW,EX,BOP,DEF,NSA
SFVQ,7plus8I,RW,EX,BOP,DEF,NSA
SGBA,7plus8K,RW,EX,BOP,DEF,NSA
SMZQ,87plus88,RW,EX,BOP,DEF,NSA
SDQU,0plus1,RW,EX,BOP,DEF,NSA
SMCW,87plus88I,RW,EX,BOP,DEF,NSA
SJUI,68minusS,RW,EX,BOP,DEF,NSA
SDEO,TminusE,RW,EX,BOP,DEF,NSA
SHDH,TminusOE,RW,EX,BOP,DEF,NSA
SEYW,6minusPS,RW,EX,BOP,DEF,NSA
SIYK,56plus59,RW,EX,BOP,DEF,NSA
SGGU,792and3,RW,EX,BOP,DEF,NSA
SFKV,7plus8,RW,EX,BOP,IDEF,NSA
SDWG,2plus4,RW,EX,BOP,IDEF,NSA
LKVM,TminusO,RW,EX,BOP,IDEF,NSA
SGNC,5minus8,RW,EX,BOP,IDEF,NSA
SETZ,5plus6,RW,EX,BOP,IDEF,NSA
SFPU,7plus8C,RW,EX,BOP,IDEF,NSA
SFVE,7plus8I,RW,EX,BOP,IDEF,NSA
SGAO,7plus8K,RW,EX,BOP,IDEF,NSA
SDQF,0plus1,RW,EX,BOP,IDEF,NSA
SDEE,TminusE,RW,EX,BOP,IDEF,NSA
SHCX,TminusOE,RW,EX,BOP,IDEF,NSA
SEYK,6minusPS,RW,EX,BOP,IDEF,NSA
SGGI,792and3,RW,EX,BOP,IDEF,NSA
SFKW,7plus8,RW,EX,BOP,IDEF,SA
SDWH,2plus4,RW,EX,BOP,IDEF,SA
LKVN,TminusO,RW,EX,BOP,IDEF,SA
SGND,5minus8,RW,EX,BOP,IDEF,SA
SEUA,5plus6,RW,EX,BOP,IDEF,SA
SFPV,7plus8C,RW,EX,BOP,IDEF,SA
SFVF,7plus8I,RW,EX,BOP,IDEF,SA
SGAP,7plus8K,RW,EX,BOP,IDEF,SA
SDQG,0plus1,RW,EX,BOP,IDEF,SA
SDEF,TminusE,RW,EX,BOP,IDEF,SA
SHCY,TminusOE,RW,EX,BOP,IDEF,SA
SEYL,6minusPS,RW,EX,BOP,IDEF,SA
SGGJ,792and3,RW,EX,BOP,IDEF,SA
SFLH,7plus8,RW,EX,BOP,VM,NSA
SDWT,2plus4,RW,EX,BOP,VM,NSA
LKVY,TminusO,RW,EX,BOP,VM,NSA
SGNN,5minus8,RW,EX,BOP,VM,NSA
SEUK,5plus6,RW,EX,BOP,VM,NSA
SFQH,7plus8C,RW,EX,BOP,VM,NSA
SFVR,7plus8I,RW,EX,BOP,VM,NSA
SGBC,7plus8K,RW,EX,BOP,VM,NSA
SDQV,0plus1,RW,EX,BOP,VM,NSA
SDEP,TminusE,RW,EX,BOP,VM,NSA
SHDI,TminusOE,RW,EX,BOP,VM,NSA
SEYX,6minusPS,RW,EX,BOP,VM,NSA
SGGV,792and3,RW,EX,BOP,VM,NSA
SIWL,57plus58,RW,EX,BOP,VM,SA
SFLI,7plus8,RW,EX,BOP,VM,SA
SDWU,2plus4,RW,EX,BOP,VM,SA
SMZR,87plus88,RW,EX,BOP,VM,SA
SMCX,87plus88I,RW,EX,BOP,VM,SA
SJUJ,68minusS,RW,EX,BOP,VM,SA
LKVZ,TminusO,RW,EX,BOP,VM,SA
SIYL,56plus59,RW,EX,BOP,VM,SA
SGNO,5minus8,RW,EX,BOP,VM,SA
SEUL,5plus6,RW,EX,BOP,VM,SA
SFQI,7plus8C,RW,EX,BOP,VM,SA
SFVS,7plus8I,RW,EX,BOP,VM,SA
SGBD,7plus8K,RW,EX,BOP,VM,SA
SMXR,84plus85,RW,EX,BOP,VM,SA
SDQW,0plus1,RW,EX,BOP,VM,SA
SMAX,87plus88C,RW,EX,BOP,VM,SA
SMEX,87plus88K,RW,EX,BOP,VM,SA
SMGX,04plus08,RW,EX,BOP,VM,SA
SDEQ,TminusE,RW,EX,BOP,VM,SA
SHDJ,TminusOE,RW,EX,BOP,VM,SA
SEYY,6minusPS,RW,EX,BOP,VM,SA
SMRD,71minus77,RW,EX,BOP,VM,SA
SGGW,792and3,RW,EX,BOP,VM,SA
SFMD,7plus8,RW,IM,OTS,CP,NSA
SDXL,2plus4,RW,IM,OTS,CP,NSA
SMYF,84plus85,RW,IM,OTS,CP,NSA
SMBL,87plus88C,RW,IM,OTS,CP,NSA
SMFL,87plus88K,RW,IM,OTS,CP,NSA
SMHL,04plus08,RW,IM,OTS,CP,NSA
LKWT,TminusO,RW,IM,OTS,CP,NSA
SGHN,792and3,RW,IM,OTS,CP,NSA
SIWZ,57plus58,RW,IM,OTS,CP,NSA
SGOH,5minus8,RW,IM,OTS,CP,NSA
SEVE,5plus6,RW,IM,OTS,CP,NSA
SFQZ,7plus8C,RW,IM,OTS,CP,NSA
SFWJ,7plus8I,RW,IM,OTS,CP,NSA
SGBU,7plus8K,RW,IM,OTS,CP,NSA
SNAG,87plus88,RW,IM,OTS,CP,NSA
SMDL,87plus88I,RW,IM,OTS,CP,NSA
SDRN,0plus1,RW,IM,OTS,CP,NSA
SJUX,68minusS,RW,IM,OTS,CP,NSA
SDFJ,TminusE,RW,IM,OTS,CP,NSA
SHEE,TminusOE,RW,IM,OTS,CP,NSA
SEZP,6minusPS,RW,IM,OTS,CP,NSA
SMRR,71minus77,RW,IM,OTS,CP,NSA
SIYZ,56plus59,RW,IM,OTS,CP,NSA
SFMI,7plus8,RW,IM,OTS,CVM,NSA
SDXM,2plus4,RW,IM,OTS,CVM,NSA
SMYH,84plus85,RW,IM,OTS,CVM,NSA
SMBN,87plus88C,RW,IM,OTS,CVM,NSA
SMFN,87plus88K,RW,IM,OTS,CVM,NSA
SMHN,04plus08,RW,IM,OTS,CVM,NSA
LKWW,TminusO,RW,IM,OTS,CVM,NSA
SGHO,792and3,RW,IM,OTS,CVM,NSA
SIXB,57plus58,RW,IM,OTS,CVM,NSA
SGOK,5minus8,RW,IM,OTS,CVM,NSA
SEVH,5plus6,RW,IM,OTS,CVM,NSA
SFRA,7plus8C,RW,IM,OTS,CVM,NSA
SFWK,7plus8I,RW,IM,OTS,CVM,NSA
SGBV,7plus8K,RW,IM,OTS,CVM,NSA
SNAI,87plus88,RW,IM,OTS,CVM,NSA
SMDN,87plus88I,RW,IM,OTS,CVM,NSA
SDRO,0plus1,RW,IM,OTS,CVM,NSA
SJUZ,68minusS,RW,IM,OTS,CVM,NSA
SDFM,TminusE,RW,IM,OTS,CVM,NSA
SHEH,TminusOE,RW,IM,OTS,CVM,NSA
SEZQ,6minusPS,RW,IM,OTS,CVM,NSA
SIZB,56plus59,RW,IM,OTS,CVM,NSA
SFMH,7plus8,RW,IM,OTS,KQ,NSA
SDXN,2plus4,RW,IM,OTS,KQ,NSA
SMYG,84plus85,RW,IM,OTS,KQ,NSA
SMBM,87plus88C,RW,IM,OTS,KQ,NSA
SMFM,87plus88K,RW,IM,OTS,KQ,NSA
SMHM,04plus08,RW,IM,OTS,KQ,NSA
LKWV,TminusO,RW,IM,OTS,KQ,NSA
SMOU,71minus77,RW,IM,OTS,KQ,NSA
SGHP,792and3,RW,IM,OTS,KQ,NSA
SIXA,57plus58,RW,IM,OTS,KQ,NSA
SGOJ,5minus8,RW,IM,OTS,KQ,NSA
SEVG,5plus6,RW,IM,OTS,KQ,NSA
SFRB,7plus8C,RW,IM,OTS,KQ,NSA
SFWL,7plus8I,RW,IM,OTS,KQ,NSA
SGBW,7plus8K,RW,IM,OTS,KQ,NSA
SNAH,87plus88,RW,IM,OTS,KQ,NSA
SMDM,87plus88I,RW,IM,OTS,KQ,NSA
SDRP,0plus1,RW,IM,OTS,KQ,NSA
SJUY,68minusS,RW,IM,OTS,KQ,NSA
SDFL,TminusE,RW,IM,OTS,KQ,NSA
SHEG,TminusOE,RW,IM,OTS,KQ,NSA
SEZR,6minusPS,RW,IM,OTS,KQ,NSA
SIZA,56plus59,RW,IM,OTS,KQ,NSA
SIWP,57plus58,RW,IM,BOP,CP,NSA
SFLQ,7plus8,RW,IM,BOP,CP,NSA
SDXF,2plus4,RW,IM,BOP,CP,NSA
SMZV,87plus88,RW,IM,BOP,CP,NSA
SMDB,87plus88I,RW,IM,BOP,CP,NSA
SJUN,68minusS,RW,IM,BOP,CP,NSA
LKWI,TminusO,RW,IM,BOP,CP,NSA
SMRH,71minus77,RW,IM,BOP,CP,NSA
SIYP,56plus59,RW,IM,BOP,CP,NSA
SGNW,5minus8,RW,IM,BOP,CP,NSA
SEUT,5plus6,RW,IM,BOP,CP,NSA
SFQT,7plus8C,RW,IM,BOP,CP,NSA
SFWD,7plus8I,RW,IM,BOP,CP,NSA
SGBO,7plus8K,RW,IM,BOP,CP,NSA
SMXV,84plus85,RW,IM,BOP,CP,NSA
SMBB,87plus88C,RW,IM,BOP,CP,NSA
SDRH,0plus1,RW,IM,BOP,CP,NSA
SMFB,87plus88K,RW,IM,BOP,CP,NSA
SMHB,04plus08,RW,IM,BOP,CP,NSA
SDEY,TminusE,RW,IM,BOP,CP,NSA
SHDT,TminusOE,RW,IM,BOP,CP,NSA
SEZJ,6minusPS,RW,IM,BOP,CP,NSA
SGHH,792and3,RW,IM,BOP,CP,NSA
SIWQ,57plus58,RW,IM,BOP,CP,SA
SFLR,7plus8,RW,IM,BOP,CP,SA
SDXV,2plus4,RW,IM,BOP,CP,SA
SMZW,87plus88,RW,IM,BOP,CP,SA
SMDC,87plus88I,RW,IM,BOP,CP,SA
SJUO,68minusS,RW,IM,BOP,CP,SA
LKWJ,TminusO,RW,IM,BOP,CP,SA
SMRI,71minus77,RW,IM,BOP,CP,SA
SIYQ,56plus59,RW,IM,BOP,CP,SA
SGNX,5minus8,RW,IM,BOP,CP,SA
SEUU,5plus6,RW,IM,BOP,CP,SA
SFRJ,7plus8C,RW,IM,BOP,CP,SA
SFWT,7plus8I,RW,IM,BOP,CP,SA
SGCG,7plus8K,RW,IM,BOP,CP,SA
SMXW,84plus85,RW,IM,BOP,CP,SA
SMBC,87plus88C,RW,IM,BOP,CP,SA
SDSA,0plus1,RW,IM,BOP,CP,SA
SMFC,87plus88K,RW,IM,BOP,CP,SA
SMHC,04plus08,RW,IM,BOP,CP,SA
SDEZ,TminusE,RW,IM,BOP,CP,SA
SHDU,TminusOE,RW,IM,BOP,CP,SA
SEZZ,6minusPS,RW,IM,BOP,CP,SA
SGHX,792and3,RW,IM,BOP,CP,SA
SIWS,57plus58,RW,IM,BOP,CVM,NSA
SFLT,7plus8,RW,IM,BOP,CVM,NSA
SDXG,2plus4,RW,IM,BOP,CVM,NSA
SMZZ,87plus88,RW,IM,BOP,CVM,NSA
SMDE,87plus88I,RW,IM,BOP,CVM,NSA
SJUQ,68minusS,RW,IM,BOP,CVM,NSA
LKWL,TminusO,RW,IM,BOP,CVM,NSA
SMRK,71minus77,RW,IM,BOP,CVM,NSA
SIYS,56plus59,RW,IM,BOP,CVM,NSA
SGNZ,5minus8,RW,IM,BOP,CVM,NSA
SEUW,5plus6,RW,IM,BOP,CVM,NSA
SFQU,7plus8C,RW,IM,BOP,CVM,NSA
SFWE,7plus8I,RW,IM,BOP,CVM,NSA
SGBP,7plus8K,RW,IM,BOP,CVM,NSA
SMXY,84plus85,RW,IM,BOP,CVM,NSA
SMBE,87plus88C,RW,IM,BOP,CVM,NSA
SDRI,0plus1,RW,IM,BOP,CVM,NSA
SMFE,87plus88K,RW,IM,BOP,CVM,NSA
SMHE,04plus08,RW,IM,BOP,CVM,NSA
SDFB,TminusE,RW,IM,BOP,CVM,NSA
SHDW,TminusOE,RW,IM,BOP,CVM,NSA
SEZK,6minusPS,RW,IM,BOP,CVM,NSA
SGHI,792and3,RW,IM,BOP,CVM,NSA
SIWT,57plus58,RW,IM,BOP,CVM,SA
SFLU,7plus8,RW,IM,BOP,CVM,SA
SDXZ,2plus4,RW,IM,BOP,CVM,SA
SNAA,87plus88,RW,IM,BOP,CVM,SA
SMDF,87plus88I,RW,IM,BOP,CVM,SA
SJUR,68minusS,RW,IM,BOP,CVM,SA
LKWM,TminusO,RW,IM,BOP,CVM,SA
SMRL,71minus77,RW,IM,BOP,CVM,SA
SIYT,56plus59,RW,IM,BOP,CVM,SA
SGOA,5minus8,RW,IM,BOP,CVM,SA
SEUX,5plus6,RW,IM,BOP,CVM,SA
SFRN,7plus8C,RW,IM,BOP,CVM,SA
SFWX,7plus8I,RW,IM,BOP,CVM,SA
SGCK,7plus8K,RW,IM,BOP,CVM,SA
SMXZ,84plus85,RW,IM,BOP,CVM,SA
SMBF,87plus88C,RW,IM,BOP,CVM,SA
SDSE,0plus1,RW,IM,BOP,CVM,SA
SMFF,87plus88K,RW,IM,BOP,CVM,SA
SMHF,04plus08,RW,IM,BOP,CVM,SA
SDFC,TminusE,RW,IM,BOP,CVM,SA
SHDX,TminusOE,RW,IM,BOP,CVM,SA
SFAD,6minusPS,RW,IM,BOP,CVM,SA
SGIB,792and3,RW,IM,BOP,CVM,SA
SIWX,57plus58,RW,IM,BOP,DEF,NSA
SFLY,7plus8,RW,IM,BOP,DEF,NSA
SDYD,2plus4,RW,IM,BOP,DEF,NSA
SNAE,87plus88,RW,IM,BOP,DEF,NSA
SMDJ,87plus88I,RW,IM,BOP,DEF,NSA
SJUV,68minusS,RW,IM,BOP,DEF,NSA
LKWQ,TminusO,RW,IM,BOP,DEF,NSA
SMRP,71minus77,RW,IM,BOP,DEF,NSA
SIYX,56plus59,RW,IM,BOP,DEF,NSA
SGOE,5minus8,RW,IM,BOP,DEF,NSA
SEVB,5plus6,RW,IM,BOP,DEF,NSA
SFRR,7plus8C,RW,IM,BOP,DEF,NSA
SFXB,7plus8I,RW,IM,BOP,DEF,NSA
SGCP,7plus8K,RW,IM,BOP,DEF,NSA
SMYD,84plus85,RW,IM,BOP,DEF,NSA
SMBJ,87plus88C,RW,IM,BOP,DEF,NSA
SDSI,0plus1,RW,IM,BOP,DEF,NSA
SMFJ,87plus88K,RW,IM,BOP,DEF,NSA
SMHJ,04plus08,RW,IM,BOP,DEF,NSA
SDFG,TminusE,RW,IM,BOP,DEF,NSA
SHEB,TminusOE,RW,IM,BOP,DEF,NSA
SFAH,6minusPS,RW,IM,BOP,DEF,NSA
SGIF,792and3,RW,IM,BOP,DEF,NSA
SFLO,7plus8,RW,IM,BOP,IDEF,NSA
SDXR,2plus4,RW,IM,BOP,IDEF,NSA
LKWF,TminusO,RW,IM,BOP,IDEF,NSA
SGNU,5minus8,RW,IM,BOP,IDEF,NSA
SEUR,5plus6,RW,IM,BOP,IDEF,NSA
SFRF,7plus8C,RW,IM,BOP,IDEF,NSA
SFWP,7plus8I,RW,IM,BOP,IDEF,NSA
SGCA,7plus8K,RW,IM,BOP,IDEF,NSA
SDRV,0plus1,RW,IM,BOP,IDEF,NSA
SDEW,TminusE,RW,IM,BOP,IDEF,NSA
SHDR,TminusOE,RW,IM,BOP,IDEF,NSA
SEZV,6minusPS,RW,IM,BOP,IDEF,NSA
SGHT,792and3,RW,IM,BOP,IDEF,NSA
SFLP,7plus8,RW,IM,BOP,IDEF,SA
SDXS,2plus4,RW,IM,BOP,IDEF,SA
LKWG,TminusO,RW,IM,BOP,IDEF,SA
SGNV,5minus8,RW,IM,BOP,IDEF,SA
SEUS,5plus6,RW,IM,BOP,IDEF,SA
SFRG,7plus8C,RW,IM,BOP,IDEF,SA
SFWQ,7plus8I,RW,IM,BOP,IDEF,SA
SGCB,7plus8K,RW,IM,BOP,IDEF,SA
SDRW,0plus1,RW,IM,BOP,IDEF,SA
SDEX,TminusE,RW,IM,BOP,IDEF,SA
SHDS,TminusOE,RW,IM,BOP,IDEF,SA
SEZW,6minusPS,RW,IM,BOP,IDEF,SA
SGHU,792and3,RW,IM,BOP,IDEF,SA
SFLZ,7plus8,RW,IM,BOP,VM,NSA
SDYE,2plus4,RW,IM,BOP,VM,NSA
LKWR,TminusO,RW,IM,BOP,VM,NSA
SGOF,5minus8,RW,IM,BOP,VM,NSA
SEVC,5plus6,RW,IM,BOP,VM,NSA
SFRS,7plus8C,RW,IM,BOP,VM,NSA
SFXC,7plus8I,RW,IM,BOP,VM,NSA
SGCQ,7plus8K,RW,IM,BOP,VM,NSA
SDSJ,0plus1,RW,IM,BOP,VM,NSA
SDFH,TminusE,RW,IM,BOP,VM,NSA
SHEC,TminusOE,RW,IM,BOP,VM,NSA
SFAI,6minusPS,RW,IM,BOP,VM,NSA
SGIG,792and3,RW,IM,BOP,VM,NSA
SFMA,7plus8,RW,IM,BOP,VM,SA
SDYF,2plus4,RW,IM,BOP,VM,SA
SMYE,84plus85,RW,IM,BOP,VM,SA
SMBK,87plus88C,RW,IM,BOP,VM,SA
SMFK,87plus88K,RW,IM,BOP,VM,SA
SMHK,04plus08,RW,IM,BOP,VM,SA
LKWS,TminusO,RW,IM,BOP,VM,SA
SIWY,57plus58,RW,IM,BOP,VM,SA
SGOG,5minus8,RW,IM,BOP,VM,SA
SEVD,5plus6,RW,IM,BOP,VM,SA
