cdid,COMMODITY,AREA,DIRECTION,BASIS,PRICE,SEASADJ
SHBI,TminusOE,EU,EX,BOP,CP,NSA
SMPU,71minus77,EU,EX,BOP,CP,NSA
SGDC,792and3,EU,EX,BOP,CP,NSA
SIVD,57plus58,EU,EX,BOP,CP,SA
SESQ,5plus6,EU,EX,BOP,CP,SA
SFMX,7plus8C,EU,EX,BOP,CP,SA
SFSQ,7plus8I,EU,EX,BOP,CP,SA
SFYA,7plus8K,EU,EX,BOP,CP,SA
SDNI,0plus1,EU,EX,BOP,CP,SA
SMYJ,87plus88,EU,EX,BOP,CP,SA
SMBP,87plus88I,EU,EX,BOP,CP,SA
LKUC,TminusO,EU,EX,BOP,CP,SA
SEVW,6minusPS,EU,EX,BOP,CP,SA
SIXD,56plus59,EU,EX,BOP,CP,SA
SGLT,5minus8,EU,EX,BOP,CP,SA
SFJH,7plus8,EU,EX,BOP,CP,SA
SDTO,2plus4,EU,EX,BOP,CP,SA
SMFP,04plus08,EU,EX,BOP,CP,SA
SMWJ,84plus85,EU,EX,BOP,CP,SA
SLZP,87plus88C,EU,EX,BOP,CP,SA
SMDP,87plus88K,EU,EX,BOP,CP,SA
SJTB,68minusS,EU,EX,BOP,CP,SA
SDCV,TminusE,EU,EX,BOP,CP,SA
SHBJ,TminusOE,EU,EX,BOP,CP,SA
SMPV,71minus77,EU,EX,BOP,CP,SA
SGDS,792and3,EU,EX,BOP,CP,SA
SIVF,57plus58,EU,EX,BOP,CVM,NSA
SESS,5plus6,EU,EX,BOP,CVM,NSA
SFMM,7plus8C,EU,EX,BOP,CVM,NSA
SFSF,7plus8I,EU,EX,BOP,CVM,NSA
SFXP,7plus8K,EU,EX,BOP,CVM,NSA
SDMX,0plus1,EU,EX,BOP,CVM,NSA
SMYL,87plus88,EU,EX,BOP,CVM,NSA
SMBR,87plus88I,EU,EX,BOP,CVM,NSA
LKUE,TminusO,EU,EX,BOP,CVM,NSA
SEVL,6minusPS,EU,EX,BOP,CVM,NSA
SIXF,56plus59,EU,EX,BOP,CVM,NSA
SGLV,5minus8,EU,EX,BOP,CVM,NSA
SFJJ,7plus8,EU,EX,BOP,CVM,NSA
SDTD,2plus4,EU,EX,BOP,CVM,NSA
SMFR,04plus08,EU,EX,BOP,CVM,NSA
SMWL,84plus85,EU,EX,BOP,CVM,NSA
SLZR,87plus88C,EU,EX,BOP,CVM,NSA
SMDR,87plus88K,EU,EX,BOP,CVM,NSA
SJTD,68minusS,EU,EX,BOP,CVM,NSA
SDCX,TminusE,EU,EX,BOP,CVM,NSA
SHBL,TminusOE,EU,EX,BOP,CVM,NSA
SMPX,71minus77,EU,EX,BOP,CVM,NSA
SGDD,792and3,EU,EX,BOP,CVM,NSA
