cdid,COUNTRY,DIRECTION,BASIS,SEASADJ,PERIOD,COMMODITY,PRICE
E52P,BE,BAL,BOP,SA,A,T,CP
E52P,BE,BAL,BOP,SA,M,T,CP
E52P,BE,BAL,BOP,SA,Q,T,CP
E52L,BE,EX,BOP,SA,A,T,CP
E52L,BE,EX,BOP,SA,M,T,CP
E52L,BE,EX,BOP,SA,Q,T,CP
E52O,BE,IM,BOP,SA,A,T,CP
E52O,BE,IM,BOP,SA,M,T,CP
E52O,BE,IM,BOP,SA,Q,T,CP
E54G,LU,BAL,BOP,SA,A,T,CP
E54G,LU,BAL,BOP,SA,M,T,CP
E54G,LU,BAL,BOP,SA,Q,T,CP
E54E,LU,EX,BOP,SA,A,T,CP
E54E,LU,EX,BOP,SA,M,T,CP
E54E,LU,EX,BOP,SA,Q,T,CP
E54F,LU,IM,BOP,SA,A,T,CP
E54F,LU,IM,BOP,SA,M,T,CP
E54F,LU,IM,BOP,SA,Q,T,CP
CHNG,DK,BAL,BOP,SA,A,T,CP
CHNG,DK,BAL,BOP,SA,M,T,CP
CHNG,DK,BAL,BOP,SA,Q,T,CP
CHNR,DK,EX,BOP,SA,A,T,CP
CHNR,DK,EX,BOP,SA,M,T,CP
CHNR,DK,EX,BOP,SA,Q,T,CP
CHNZ,DK,IM,BOP,SA,A,T,CP
CHNZ,DK,IM,BOP,SA,M,T,CP
CHNZ,DK,IM,BOP,SA,Q,T,CP
CHVH,FI,BAL,BOP,SA,A,T,CP
CHVH,FI,BAL,BOP,SA,M,T,CP
CHVH,FI,BAL,BOP,SA,Q,T,CP
CHMZ,FI,EX,BOP,SA,A,T,CP
CHMZ,FI,EX,BOP,SA,M,T,CP
CHMZ,FI,EX,BOP,SA,Q,T,CP
CHNC,FI,IM,BOP,SA,A,T,CP
CHNC,FI,IM,BOP,SA,M,T,CP
CHNC,FI,IM,BOP,SA,Q,T,CP
ENYT,FR,BAL,BOP,SA,A,T,CP
ENYT,FR,BAL,BOP,SA,M,T,CP
ENYT,FR,BAL,BOP,SA,Q,T,CP
ENYL,FR,EX,BOP,SA,A,T,CP
ENYL,FR,EX,BOP,SA,M,T,CP
ENYL,FR,EX,BOP,SA,Q,T,CP
ENYP,FR,IM,BOP,SA,A,T,CP
ENYP,FR,IM,BOP,SA,M,T,CP
ENYP,FR,IM,BOP,SA,Q,T,CP
ENYW,DE,BAL,BOP,SA,A,T,CP
ENYW,DE,BAL,BOP,SA,M,T,CP
ENYW,DE,BAL,BOP,SA,Q,T,CP
ENYO,DE,EX,BOP,SA,A,T,CP
ENYO,DE,EX,BOP,SA,M,T,CP
ENYO,DE,EX,BOP,SA,Q,T,CP
ENYS,DE,IM,BOP,SA,A,T,CP
ENYS,DE,IM,BOP,SA,M,T,CP
ENYS,DE,IM,BOP,SA,Q,T,CP
CHNI,GR,BAL,BOP,SA,A,T,CP
CHNI,GR,BAL,BOP,SA,M,T,CP
CHNI,GR,BAL,BOP,SA,Q,T,CP
CHNT,GR,EX,BOP,SA,A,T,CP
CHNT,GR,EX,BOP,SA,M,T,CP
CHNT,GR,EX,BOP,SA,Q,T,CP
CHOB,GR,IM,BOP,SA,A,T,CP
CHOB,GR,IM,BOP,SA,M,T,CP
CHOB,GR,IM,BOP,SA,Q,T,CP
CHNH,IE,BAL,BOP,SA,A,T,CP
CHNH,IE,BAL,BOP,SA,M,T,CP
CHNH,IE,BAL,BOP,SA,Q,T,CP
CHNS,IE,EX,BOP,SA,A,T,CP
CHNS,IE,EX,BOP,SA,M,T,CP
CHNS,IE,EX,BOP,SA,Q,T,CP
CHOA,IE,IM,BOP,SA,A,T,CP
CHOA,IE,IM,BOP,SA,M,T,CP
CHOA,IE,IM,BOP,SA,Q,T,CP
CHOE,IT,BAL,BOP,SA,A,T,CP
CHOE,IT,BAL,BOP,SA,M,T,CP
CHOE,IT,BAL,BOP,SA,Q,T,CP
CHNO,IT,EX,BOP,SA,A,T,CP
CHNO,IT,EX,BOP,SA,M,T,CP
CHNO,IT,EX,BOP,SA,Q,T,CP
CHNW,IT,IM,BOP,SA,A,T,CP
CHNW,IT,IM,BOP,SA,M,T,CP
CHNW,IT,IM,BOP,SA,Q,T,CP
CHNE,NL,BAL,BOP,SA,A,T,CP
CHNE,NL,BAL,BOP,SA,M,T,CP
CHNE,NL,BAL,BOP,SA,Q,T,CP
CHNP,NL,EX,BOP,SA,A,T,CP
CHNP,NL,EX,BOP,SA,M,T,CP
CHNP,NL,EX,BOP,SA,Q,T,CP
CHNX,NL,IM,BOP,SA,A,T,CP
CHNX,NL,IM,BOP,SA,M,T,CP
CHNX,NL,IM,BOP,SA,Q,T,CP
CHNJ,PT,BAL,BOP,SA,A,T,CP
CHNJ,PT,BAL,BOP,SA,M,T,CP
CHNJ,PT,BAL,BOP,SA,Q,T,CP
CHNU,PT,EX,BOP,SA,A,T,CP
CHNU,PT,EX,BOP,SA,M,T,CP
CHNU,PT,EX,BOP,SA,Q,T,CP
CHOC,PT,IM,BOP,SA,A,T,CP
CHOC,PT,IM,BOP,SA,M,T,CP
CHOC,PT,IM,BOP,SA,Q,T,CP
CHNM,ES,BAL,BOP,SA,A,T,CP
CHNM,ES,BAL,BOP,SA,M,T,CP
CHNM,ES,BAL,BOP,SA,Q,T,CP
CHNV,ES,EX,BOP,SA,A,T,CP
CHNV,ES,EX,BOP,SA,M,T,CP
CHNV,ES,EX,BOP,SA,Q,T,CP
CHOD,ES,IM,BOP,SA,A,T,CP
CHOD,ES,IM,BOP,SA,M,T,CP
CHOD,ES,IM,BOP,SA,Q,T,CP
CHVI,SE,BAL,BOP,SA,A,T,CP
CHVI,SE,BAL,BOP,SA,M,T,CP
CHVI,SE,BAL,BOP,SA,Q,T,CP
CHNA,SE,EX,BOP,SA,A,T,CP
CHNA,SE,EX,BOP,SA,M,T,CP
CHNA,SE,EX,BOP,SA,Q,T,CP
CHND,SE,IM,BOP,SA,A,T,CP
CHND,SE,IM,BOP,SA,M,T,CP
CHND,SE,IM,BOP,SA,Q,T,CP
BQGP,CY,BAL,BOP,SA,A,T,CP
BQGP,CY,BAL,BOP,SA,M,T,CP
BQGP,CY,BAL,BOP,SA,Q,T,CP
BQGN,CY,EX,BOP,SA,A,T,CP
BQGN,CY,EX,BOP,SA,M,T,CP
BQGN,CY,EX,BOP,SA,Q,T,CP
BQGO,CY,IM,BOP,SA,A,T,CP
BQGO,CY,IM,BOP,SA,M,T,CP
BQGO,CY,IM,BOP,SA,Q,T,CP
FKMN,CZ,BAL,BOP,SA,A,T,CP
FKMN,CZ,BAL,BOP,SA,M,T,CP
FKMN,CZ,BAL,BOP,SA,Q,T,CP
FKML,CZ,EX,BOP,SA,A,T,CP
FKML,CZ,EX,BOP,SA,M,T,CP
FKML,CZ,EX,BOP,SA,Q,T,CP
FKMM,CZ,IM,BOP,SA,A,T,CP
FKMM,CZ,IM,BOP,SA,M,T,CP
FKMM,CZ,IM,BOP,SA,Q,T,CP
BQGM,EE,BAL,BOP,SA,A,T,CP
BQGM,EE,BAL,BOP,SA,M,T,CP
BQGM,EE,BAL,BOP,SA,Q,T,CP
AUEV,EE,EX,BOP,SA,A,T,CP
AUEV,EE,EX,BOP,SA,M,T,CP
AUEV,EE,EX,BOP,SA,Q,T,CP
BQGL,EE,IM,BOP,SA,A,T,CP
BQGL,EE,IM,BOP,SA,M,T,CP
BQGL,EE,IM,BOP,SA,Q,T,CP
QALE,HU,BAL,BOP,SA,A,T,CP
QALE,HU,BAL,BOP,SA,M,T,CP
QALE,HU,BAL,BOP,SA,Q,T,CP
QALC,HU,EX,BOP,SA,A,T,CP
QALC,HU,EX,BOP,SA,M,T,CP
QALC,HU,EX,BOP,SA,Q,T,CP
QALD,HU,IM,BOP,SA,A,T,CP
QALD,HU,IM,BOP,SA,M,T,CP
QALD,HU,IM,BOP,SA,Q,T,CP
BQGT,LV,BAL,BOP,SA,A,T,CP
BQGT,LV,BAL,BOP,SA,M,T,CP
BQGT,LV,BAL,BOP,SA,Q,T,CP
BQGQ,LV,EX,BOP,SA,A,T,CP
BQGQ,LV,EX,BOP,SA,M,T,CP
BQGQ,LV,EX,BOP,SA,Q,T,CP
BQGR,LV,IM,BOP,SA,A,T,CP
BQGR,LV,IM,BOP,SA,M,T,CP
BQGR,LV,IM,BOP,SA,Q,T,CP
