cdid,COMMODITY,AREA,DIRECTION,BASIS,PRICE,SEASADJ,PERIOD
SMWU,84plus85,EU,EX,OTS,CVM,NSA,Q
SJTM,68minusS,EU,EX,OTS,CVM,NSA,Q
SMAA,87plus88C,EU,EX,OTS,CVM,NSA,Q
SMEA,87plus88K,EU,EX,OTS,CVM,NSA,Q
LKUP,TminusO,EU,EX,OTS,CVM,NSA,Q
SEVP,6minusPS,EU,EX,OTS,CVM,NSA,Q
SGMG,5minus8,EU,EX,OTS,CVM,NSA,Q
SETD,5plus6,EU,EX,OTS,CVM,NSA,Q
SIVO,57plus58,EU,EX,OTS,CVM,NSA,Q
SFJV,7plus8,EU,EX,OTS,CVM,NSA,Q
SDTH,2plus4,EU,EX,OTS,CVM,NSA,Q
SMYU,87plus88,EU,EX,OTS,CVM,NSA,Q
SMCA,87plus88I,EU,EX,OTS,CVM,NSA,Q
SDDI,TminusE,EU,EX,OTS,CVM,NSA,Q
SHBW,TminusOE,EU,EX,OTS,CVM,NSA,Q
SIXO,56plus59,EU,EX,OTS,CVM,NSA,Q
SGDH,792and3,EU,EX,OTS,CVM,NSA,Q
SMFZ,04plus08,EU,EX,OTS,KQ,NSA,Q
SFMR,7plus8C,EU,EX,OTS,KQ,NSA,Q
SFSK,7plus8I,EU,EX,OTS,KQ,NSA,Q
SFXU,7plus8K,EU,EX,OTS,KQ,NSA,Q
SDNC,0plus1,EU,EX,OTS,KQ,NSA,Q
SMWT,84plus85,EU,EX,OTS,KQ,NSA,Q
SLZZ,87plus88C,EU,EX,OTS,KQ,NSA,Q
SMDZ,87plus88K,EU,EX,OTS,KQ,NSA,Q
LKUO,TminusO,EU,EX,OTS,KQ,NSA,Q
SEVQ,6minusPS,EU,EX,OTS,KQ,NSA,Q
SIVN,57plus58,EU,EX,OTS,KQ,NSA,Q
SGMF,5minus8,EU,EX,OTS,KQ,NSA,Q
SETC,5plus6,EU,EX,OTS,KQ,NSA,Q
SFJU,7plus8,EU,EX,OTS,KQ,NSA,Q
SDTI,2plus4,EU,EX,OTS,KQ,NSA,Q
SMYT,87plus88,EU,EX,OTS,KQ,NSA,Q
SMBZ,87plus88I,EU,EX,OTS,KQ,NSA,Q
SDDH,TminusE,EU,EX,OTS,KQ,NSA,Q
SHBV,TminusOE,EU,EX,OTS,KQ,NSA,Q
SIXN,56plus59,EU,EX,OTS,KQ,NSA,Q
SGDI,792and3,EU,EX,OTS,KQ,NSA,Q
SIVC,57plus58,EU,EX,BOP,CP,NSA,Q
SFMK,7plus8C,EU,EX,BOP,CP,NSA,Q
SDMW,0plus1,EU,EX,BOP,CP,NSA,Q
SFSE,7plus8I,EU,EX,BOP,CP,NSA,Q
SFXO,7plus8K,EU,EX,BOP,CP,NSA,Q
SMYI,87plus88,EU,EX,BOP,CP,NSA,Q
SMBO,87plus88I,EU,EX,BOP,CP,NSA,Q
SEVK,6minusPS,EU,EX,BOP,CP,NSA,Q
LKUB,TminusO,EU,EX,BOP,CP,NSA,Q
SIXC,56plus59,EU,EX,BOP,CP,NSA,Q
SGLS,5minus8,EU,EX,BOP,CP,NSA,Q
SESP,5plus6,EU,EX,BOP,CP,NSA,Q
SFJG,7plus8,EU,EX,BOP,CP,NSA,Q
SDTC,2plus4,EU,EX,BOP,CP,NSA,Q
SMFO,04plus08,EU,EX,BOP,CP,NSA,Q
SMWI,84plus85,EU,EX,BOP,CP,NSA,Q
SLZO,87plus88C,EU,EX,BOP,CP,NSA,Q
SMDO,87plus88K,EU,EX,BOP,CP,NSA,Q
SDCU,TminusE,EU,EX,BOP,CP,NSA,Q
SJTA,68minusS,EU,EX,BOP,CP,NSA,Q
SHBI,TminusOE,EU,EX,BOP,CP,NSA,Q
SMPU,71minus77,EU,EX,BOP,CP,NSA,Q
SGDC,792and3,EU,EX,BOP,CP,NSA,Q
SIVD,57plus58,EU,EX,BOP,CP,SA,Q
SFMX,7plus8C,EU,EX,BOP,CP,SA,Q
SFSQ,7plus8I,EU,EX,BOP,CP,SA,Q
SFYA,7plus8K,EU,EX,BOP,CP,SA,Q
SDNI,0plus1,EU,EX,BOP,CP,SA,Q
SMYJ,87plus88,EU,EX,BOP,CP,SA,Q
SMBP,87plus88I,EU,EX,BOP,CP,SA,Q
LKUC,TminusO,EU,EX,BOP,CP,SA,Q
SEVW,6minusPS,EU,EX,BOP,CP,SA,Q
SIXD,56plus59,EU,EX,BOP,CP,SA,Q
SGLT,5minus8,EU,EX,BOP,CP,SA,Q
SESQ,5plus6,EU,EX,BOP,CP,SA,Q
SFJH,7plus8,EU,EX,BOP,CP,SA,Q
SDTO,2plus4,EU,EX,BOP,CP,SA,Q
SMFP,04plus08,EU,EX,BOP,CP,SA,Q
SMWJ,84plus85,EU,EX,BOP,CP,SA,Q
SLZP,87plus88C,EU,EX,BOP,CP,SA,Q
SMDP,87plus88K,EU,EX,BOP,CP,SA,Q
SJTB,68minusS,EU,EX,BOP,CP,SA,Q
SDCV,TminusE,EU,EX,BOP,CP,SA,Q
SHBJ,TminusOE,EU,EX,BOP,CP,SA,Q
SMPV,71minus77,EU,EX,BOP,CP,SA,Q
SGDS,792and3,EU,EX,BOP,CP,SA,Q
SIVF,57plus58,EU,EX,BOP,CVM,NSA,Q
SFMM,7plus8C,EU,EX,BOP,CVM,NSA,Q
SFSF,7plus8I,EU,EX,BOP,CVM,NSA,Q
SFXP,7plus8K,EU,EX,BOP,CVM,NSA,Q
SDMX,0plus1,EU,EX,BOP,CVM,NSA,Q
SMYL,87plus88,EU,EX,BOP,CVM,NSA,Q
SMBR,87plus88I,EU,EX,BOP,CVM,NSA,Q
LKUE,TminusO,EU,EX,BOP,CVM,NSA,Q
SEVL,6minusPS,EU,EX,BOP,CVM,NSA,Q
SIXF,56plus59,EU,EX,BOP,CVM,NSA,Q
SGLV,5minus8,EU,EX,BOP,CVM,NSA,Q
SESS,5plus6,EU,EX,BOP,CVM,NSA,Q
SFJJ,7plus8,EU,EX,BOP,CVM,NSA,Q
SDTD,2plus4,EU,EX,BOP,CVM,NSA,Q
SMFR,04plus08,EU,EX,BOP,CVM,NSA,Q
SMWL,84plus85,EU,EX,BOP,CVM,NSA,Q
SLZR,87plus88C,EU,EX,BOP,CVM,NSA,Q
SMDR,87plus88K,EU,EX,BOP,CVM,NSA,Q
SJTD,68minusS,EU,EX,BOP,CVM,NSA,Q
SDCX,TminusE,EU,EX,BOP,CVM,NSA,Q
SHBL,TminusOE,EU,EX,BOP,CVM,NSA,Q
SMPX,71minus77,EU,EX,BOP,CVM,NSA,Q
SGDD,792and3,EU,EX,BOP,CVM,NSA,Q
SIVG,57plus58,EU,EX,BOP,CVM,SA,Q
SFNB,7plus8C,EU,EX,BOP,CVM,SA,Q
SFSU,7plus8I,EU,EX,BOP,CVM,SA,Q
SFYE,7plus8K,EU,EX,BOP,CVM,SA,Q
SDNM,0plus1,EU,EX,BOP,CVM,SA,Q
SMYM,87plus88,EU,EX,BOP,CVM,SA,Q
SMBS,87plus88I,EU,EX,BOP,CVM,SA,Q
LKUF,TminusO,EU,EX,BOP,CVM,SA,Q
SEWA,6minusPS,EU,EX,BOP,CVM,SA,Q
SIXG,56plus59,EU,EX,BOP,CVM,SA,Q
SGLW,5minus8,EU,EX,BOP,CVM,SA,Q
SEST,5plus6,EU,EX,BOP,CVM,SA,Q
SFJK,7plus8,EU,EX,BOP,CVM,SA,Q
SDTS,2plus4,EU,EX,BOP,CVM,SA,Q
SMFS,04plus08,EU,EX,BOP,CVM,SA,Q
SMWM,84plus85,EU,EX,BOP,CVM,SA,Q
SLZS,87plus88C,EU,EX,BOP,CVM,SA,Q
SMDS,87plus88K,EU,EX,BOP,CVM,SA,Q
SDCY,TminusE,EU,EX,BOP,CVM,SA,Q
SJTE,68minusS,EU,EX,BOP,CVM,SA,Q
SHBM,TminusOE,EU,EX,BOP,CVM,SA,Q
SMPY,71minus77,EU,EX,BOP,CVM,SA,Q
SGDX,792and3,EU,EX,BOP,CVM,SA,Q
SIVK,57plus58,EU,EX,BOP,DEF,NSA,Q
SFNF,7plus8C,EU,EX,BOP,DEF,NSA,Q
SFSY,7plus8I,EU,EX,BOP,DEF,NSA,Q
SFYI,7plus8K,EU,EX,BOP,DEF,NSA,Q
SDNQ,0plus1,EU,EX,BOP,DEF,NSA,Q
SMYQ,87plus88,EU,EX,BOP,DEF,NSA,Q
SMBW,87plus88I,EU,EX,BOP,DEF,NSA,Q
LKUJ,TminusO,EU,EX,BOP,DEF,NSA,Q
SEWE,6minusPS,EU,EX,BOP,DEF,NSA,Q
SIXK,56plus59,EU,EX,BOP,DEF,NSA,Q
SGMA,5minus8,EU,EX,BOP,DEF,NSA,Q
SESX,5plus6,EU,EX,BOP,DEF,NSA,Q
SFJP,7plus8,EU,EX,BOP,DEF,NSA,Q
SDTW,2plus4,EU,EX,BOP,DEF,NSA,Q
SMFW,04plus08,EU,EX,BOP,DEF,NSA,Q
SMWQ,84plus85,EU,EX,BOP,DEF,NSA,Q
SLZW,87plus88C,EU,EX,BOP,DEF,NSA,Q
SMDW,87plus88K,EU,EX,BOP,DEF,NSA,Q
SJTI,68minusS,EU,EX,BOP,DEF,NSA,Q
SDDC,TminusE,EU,EX,BOP,DEF,NSA,Q
SHBQ,TminusOE,EU,EX,BOP,DEF,NSA,Q
SMQC,71minus77,EU,EX,BOP,DEF,NSA,Q
SGEB,792and3,EU,EX,BOP,DEF,NSA,Q
SFMT,7plus8C,EU,EX,BOP,IDEF,NSA,Q
SFSM,7plus8I,EU,EX,BOP,IDEF,NSA,Q
SFXW,7plus8K,EU,EX,BOP,IDEF,NSA,Q
SDNE,0plus1,EU,EX,BOP,IDEF,NSA,Q
LKTZ,TminusO,EU,EX,BOP,IDEF,NSA,Q
SEVS,6minusPS,EU,EX,BOP,IDEF,NSA,Q
SGLQ,5minus8,EU,EX,BOP,IDEF,NSA,Q
SESN,5plus6,EU,EX,BOP,IDEF,NSA,Q
SFJE,7plus8,EU,EX,BOP,IDEF,NSA,Q
SDTK,2plus4,EU,EX,BOP,IDEF,NSA,Q
SDCS,TminusE,EU,EX,BOP,IDEF,NSA,Q
SHBG,TminusOE,EU,EX,BOP,IDEF,NSA,Q
SGDK,792and3,EU,EX,BOP,IDEF,NSA,Q
SFMU,7plus8C,EU,EX,BOP,IDEF,SA,Q
SFSN,7plus8I,EU,EX,BOP,IDEF,SA,Q
SFXX,7plus8K,EU,EX,BOP,IDEF,SA,Q
SDNF,0plus1,EU,EX,BOP,IDEF,SA,Q
LKUA,TminusO,EU,EX,BOP,IDEF,SA,Q
SEVT,6minusPS,EU,EX,BOP,IDEF,SA,Q
SGLR,5minus8,EU,EX,BOP,IDEF,SA,Q
SESO,5plus6,EU,EX,BOP,IDEF,SA,Q
SFJF,7plus8,EU,EX,BOP,IDEF,SA,Q
SDTL,2plus4,EU,EX,BOP,IDEF,SA,Q
SDCT,TminusE,EU,EX,BOP,IDEF,SA,Q
SHBH,TminusOE,EU,EX,BOP,IDEF,SA,Q
SGDL,792and3,EU,EX,BOP,IDEF,SA,Q
SFNG,7plus8C,EU,EX,BOP,VM,NSA,Q
SFSZ,7plus8I,EU,EX,BOP,VM,NSA,Q
SFYJ,7plus8K,EU,EX,BOP,VM,NSA,Q
SDNR,0plus1,EU,EX,BOP,VM,NSA,Q
LKUK,TminusO,EU,EX,BOP,VM,NSA,Q
SEWF,6minusPS,EU,EX,BOP,VM,NSA,Q
SGMB,5minus8,EU,EX,BOP,VM,NSA,Q
SESY,5plus6,EU,EX,BOP,VM,NSA,Q
SFJQ,7plus8,EU,EX,BOP,VM,NSA,Q
SDTX,2plus4,EU,EX,BOP,VM,NSA,Q
SDDD,TminusE,EU,EX,BOP,VM,NSA,Q
SHBR,TminusOE,EU,EX,BOP,VM,NSA,Q
SGEC,792and3,EU,EX,BOP,VM,NSA,Q
SFNH,7plus8C,EU,EX,BOP,VM,SA,Q
SFTA,7plus8I,EU,EX,BOP,VM,SA,Q
SFYK,7plus8K,EU,EX,BOP,VM,SA,Q
SMFX,04plus08,EU,EX,BOP,VM,SA,Q
SDNS,0plus1,EU,EX,BOP,VM,SA,Q
SMWR,84plus85,EU,EX,BOP,VM,SA,Q
SLZX,87plus88C,EU,EX,BOP,VM,SA,Q
SMDX,87plus88K,EU,EX,BOP,VM,SA,Q
SJTJ,68minusS,EU,EX,BOP,VM,SA,Q
LKUL,TminusO,EU,EX,BOP,VM,SA,Q
SEWG,6minusPS,EU,EX,BOP,VM,SA,Q
SMQD,71minus77,EU,EX,BOP,VM,SA,Q
SIVL,57plus58,EU,EX,BOP,VM,SA,Q
SGMC,5minus8,EU,EX,BOP,VM,SA,Q
SESZ,5plus6,EU,EX,BOP,VM,SA,Q
SFJR,7plus8,EU,EX,BOP,VM,SA,Q
SDTY,2plus4,EU,EX,BOP,VM,SA,Q
SMYR,87plus88,EU,EX,BOP,VM,SA,Q
SMBX,87plus88I,EU,EX,BOP,VM,SA,Q
SDDE,TminusE,EU,EX,BOP,VM,SA,Q
SHBS,TminusOE,EU,EX,BOP,VM,SA,Q
SIXL,56plus59,EU,EX,BOP,VM,SA,Q
SGED,792and3,EU,EX,BOP,VM,SA,Q
SIVZ,57plus58,EU,IM,OTS,CP,NSA,Q
SFOH,7plus8C,EU,IM,OTS,CP,NSA,Q
SFTR,7plus8I,EU,IM,OTS,CP,NSA,Q
SFZB,7plus8K,EU,IM,OTS,CP,NSA,Q
SMZF,87plus88,EU,IM,OTS,CP,NSA,Q
SMEL,87plus88I,EU,IM,OTS,CP,NSA,Q
SDOO,0plus1,EU,IM,OTS,CP,NSA,Q
SJTX,68minusS,EU,IM,OTS,CP,NSA,Q
LKVE,TminusO,EU,IM,OTS,CP,NSA,Q
SEWX,6minusPS,EU,IM,OTS,CP,NSA,Q
SIXZ,56plus59,EU,IM,OTS,CP,NSA,Q
SGMV,5minus8,EU,IM,OTS,CP,NSA,Q
SETS,5plus6,EU,IM,OTS,CP,NSA,Q
SFKK,7plus8,EU,IM,OTS,CP,NSA,Q
SDUQ,2plus4,EU,IM,OTS,CP,NSA,Q
SMXF,84plus85,EU,IM,OTS,CP,NSA,Q
SMAL,87plus88C,EU,IM,OTS,CP,NSA,Q
SMCL,87plus88K,EU,IM,OTS,CP,NSA,Q
SMGL,04plus08,EU,IM,OTS,CP,NSA,Q
SDDY,TminusE,EU,IM,OTS,CP,NSA,Q
SHCP,TminusOE,EU,IM,OTS,CP,NSA,Q
SGEU,792and3,EU,IM,OTS,CP,NSA,Q
SIWB,57plus58,EU,IM,OTS,CVM,NSA,Q
SFOI,7plus8C,EU,IM,OTS,CVM,NSA,Q
SFTS,7plus8I,EU,IM,OTS,CVM,NSA,Q
SFZC,7plus8K,EU,IM,OTS,CVM,NSA,Q
SDOP,0plus1,EU,IM,OTS,CVM,NSA,Q
SMZH,87plus88,EU,IM,OTS,CVM,NSA,Q
SMCN,87plus88I,EU,IM,OTS,CVM,NSA,Q
SJTZ,68minusS,EU,IM,OTS,CVM,NSA,Q
LKVH,TminusO,EU,IM,OTS,CVM,NSA,Q
SEWY,6minusPS,EU,IM,OTS,CVM,NSA,Q
SIYB,56plus59,EU,IM,OTS,CVM,NSA,Q
SGMY,5minus8,EU,IM,OTS,CVM,NSA,Q
SETV,5plus6,EU,IM,OTS,CVM,NSA,Q
SFKN,7plus8,EU,IM,OTS,CVM,NSA,Q
SDUR,2plus4,EU,IM,OTS,CVM,NSA,Q
SMXH,84plus85,EU,IM,OTS,CVM,NSA,Q
SMGN,04plus08,EU,IM,OTS,CVM,NSA,Q
SMAN,87plus88C,EU,IM,OTS,CVM,NSA,Q
SMEN,87plus88K,EU,IM,OTS,CVM,NSA,Q
SDEB,TminusE,EU,IM,OTS,CVM,NSA,Q
SHCS,TminusOE,EU,IM,OTS,CVM,NSA,Q
SGEV,792and3,EU,IM,OTS,CVM,NSA,Q
SIWA,57plus58,EU,IM,OTS,KQ,NSA,Q
SFOJ,7plus8C,EU,IM,OTS,KQ,NSA,Q
SFTT,7plus8I,EU,IM,OTS,KQ,NSA,Q
SFZD,7plus8K,EU,IM,OTS,KQ,NSA,Q
SDOQ,0plus1,EU,IM,OTS,KQ,NSA,Q
SMZG,87plus88,EU,IM,OTS,KQ,NSA,Q
SMCM,87plus88I,EU,IM,OTS,KQ,NSA,Q
SJTY,68minusS,EU,IM,OTS,KQ,NSA,Q
LKVG,TminusO,EU,IM,OTS,KQ,NSA,Q
SEWZ,6minusPS,EU,IM,OTS,KQ,NSA,Q
SIYA,56plus59,EU,IM,OTS,KQ,NSA,Q
SGMX,5minus8,EU,IM,OTS,KQ,NSA,Q
SETU,5plus6,EU,IM,OTS,KQ,NSA,Q
SFKM,7plus8,EU,IM,OTS,KQ,NSA,Q
SDUS,2plus4,EU,IM,OTS,KQ,NSA,Q
SMXG,84plus85,EU,IM,OTS,KQ,NSA,Q
SMGM,04plus08,EU,IM,OTS,KQ,NSA,Q
SMAM,87plus88C,EU,IM,OTS,KQ,NSA,Q
SMEM,87plus88K,EU,IM,OTS,KQ,NSA,Q
SDEA,TminusE,EU,IM,OTS,KQ,NSA,Q
SHCR,TminusOE,EU,IM,OTS,KQ,NSA,Q
SGEW,792and3,EU,IM,OTS,KQ,NSA,Q
SFOA,7plus8C,EU,IM,BOP,CP,NSA,Q
SFTL,7plus8I,EU,IM,BOP,CP,NSA,Q
SFYV,7plus8K,EU,IM,BOP,CP,NSA,Q
SMGB,04plus08,EU,IM,BOP,CP,NSA,Q
SDOI,0plus1,EU,IM,BOP,CP,NSA,Q
SMWV,84plus85,EU,IM,BOP,CP,NSA,Q
SMAB,87plus88C,EU,IM,BOP,CP,NSA,Q
SMEB,87plus88K,EU,IM,BOP,CP,NSA,Q
LKUT,TminusO,EU,IM,BOP,CP,NSA,Q
SEWR,6minusPS,EU,IM,BOP,CP,NSA,Q
SIVP,57plus58,EU,IM,BOP,CP,NSA,Q
SGMK,5minus8,EU,IM,BOP,CP,NSA,Q
SETH,5plus6,EU,IM,BOP,CP,NSA,Q
SFJZ,7plus8,EU,IM,BOP,CP,NSA,Q
SDUK,2plus4,EU,IM,BOP,CP,NSA,Q
SMYV,87plus88,EU,IM,BOP,CP,NSA,Q
SMCB,87plus88I,EU,IM,BOP,CP,NSA,Q
SJTN,68minusS,EU,IM,BOP,CP,NSA,Q
SDDM,TminusE,EU,IM,BOP,CP,NSA,Q
SHCB,TminusOE,EU,IM,BOP,CP,NSA,Q
SMQH,71minus77,EU,IM,BOP,CP,NSA,Q
SIXP,56plus59,EU,IM,BOP,CP,NSA,Q
SGEO,792and3,EU,IM,BOP,CP,NSA,Q
SFOR,7plus8C,EU,IM,BOP,CP,SA,Q
SFUB,7plus8I,EU,IM,BOP,CP,SA,Q
SFZL,7plus8K,EU,IM,BOP,CP,SA,Q
SDOY,0plus1,EU,IM,BOP,CP,SA,Q
SMWW,84plus85,EU,IM,BOP,CP,SA,Q
SMGC,04plus08,EU,IM,BOP,CP,SA,Q
SMAC,87plus88C,EU,IM,BOP,CP,SA,Q
SMEC,87plus88K,EU,IM,BOP,CP,SA,Q
LKUU,TminusO,EU,IM,BOP,CP,SA,Q
SEXH,6minusPS,EU,IM,BOP,CP,SA,Q
SIVQ,57plus58,EU,IM,BOP,CP,SA,Q
SGML,5minus8,EU,IM,BOP,CP,SA,Q
SETI,5plus6,EU,IM,BOP,CP,SA,Q
SFKA,7plus8,EU,IM,BOP,CP,SA,Q
SDVA,2plus4,EU,IM,BOP,CP,SA,Q
SMYW,87plus88,EU,IM,BOP,CP,SA,Q
SMCC,87plus88I,EU,IM,BOP,CP,SA,Q
SJTO,68minusS,EU,IM,BOP,CP,SA,Q
SDDO,TminusE,EU,IM,BOP,CP,SA,Q
SHCC,TminusOE,EU,IM,BOP,CP,SA,Q
SMQI,71minus77,EU,IM,BOP,CP,SA,Q
SIXQ,56plus59,EU,IM,BOP,CP,SA,Q
SGFE,792and3,EU,IM,BOP,CP,SA,Q
SFOB,7plus8C,EU,IM,BOP,CVM,NSA,Q
SFTM,7plus8I,EU,IM,BOP,CVM,NSA,Q
SFYW,7plus8K,EU,IM,BOP,CVM,NSA,Q
SDOJ,0plus1,EU,IM,BOP,CVM,NSA,Q
SMWY,84plus85,EU,IM,BOP,CVM,NSA,Q
SMGE,04plus08,EU,IM,BOP,CVM,NSA,Q
SMAE,87plus88C,EU,IM,BOP,CVM,NSA,Q
SMEE,87plus88K,EU,IM,BOP,CVM,NSA,Q
LKUW,TminusO,EU,IM,BOP,CVM,NSA,Q
SEWS,6minusPS,EU,IM,BOP,CVM,NSA,Q
SIVS,57plus58,EU,IM,BOP,CVM,NSA,Q
SGMN,5minus8,EU,IM,BOP,CVM,NSA,Q
SETK,5plus6,EU,IM,BOP,CVM,NSA,Q
SFKC,7plus8,EU,IM,BOP,CVM,NSA,Q
SDUL,2plus4,EU,IM,BOP,CVM,NSA,Q
SMYY,87plus88,EU,IM,BOP,CVM,NSA,Q
SMCE,87plus88I,EU,IM,BOP,CVM,NSA,Q
SJTQ,68minusS,EU,IM,BOP,CVM,NSA,Q
SDDQ,TminusE,EU,IM,BOP,CVM,NSA,Q
SHCG,TminusOE,EU,IM,BOP,CVM,NSA,Q
SMQK,71minus77,EU,IM,BOP,CVM,NSA,Q
SIXS,56plus59,EU,IM,BOP,CVM,NSA,Q
SGEP,792and3,EU,IM,BOP,CVM,NSA,Q
SFOV,7plus8C,EU,IM,BOP,CVM,SA,Q
SFUF,7plus8I,EU,IM,BOP,CVM,SA,Q
SFZP,7plus8K,EU,IM,BOP,CVM,SA,Q
SDPC,0plus1,EU,IM,BOP,CVM,SA,Q
SMWZ,84plus85,EU,IM,BOP,CVM,SA,Q
SMGF,04plus08,EU,IM,BOP,CVM,SA,Q
SMAF,87plus88C,EU,IM,BOP,CVM,SA,Q
SMEF,87plus88K,EU,IM,BOP,CVM,SA,Q
LKUX,TminusO,EU,IM,BOP,CVM,SA,Q
SEXL,6minusPS,EU,IM,BOP,CVM,SA,Q
SIVT,57plus58,EU,IM,BOP,CVM,SA,Q
SGMO,5minus8,EU,IM,BOP,CVM,SA,Q
SETL,5plus6,EU,IM,BOP,CVM,SA,Q
SFKD,7plus8,EU,IM,BOP,CVM,SA,Q
SDVE,2plus4,EU,IM,BOP,CVM,SA,Q
SMYZ,87plus88,EU,IM,BOP,CVM,SA,Q
SMCF,87plus88I,EU,IM,BOP,CVM,SA,Q
SJTR,68minusS,EU,IM,BOP,CVM,SA,Q
SDDR,TminusE,EU,IM,BOP,CVM,SA,Q
SHCH,TminusOE,EU,IM,BOP,CVM,SA,Q
SMQL,71minus77,EU,IM,BOP,CVM,SA,Q
SIXT,56plus59,EU,IM,BOP,CVM,SA,Q
SGFI,792and3,EU,IM,BOP,CVM,SA,Q
SFOZ,7plus8C,EU,IM,BOP,DEF,NSA,Q
SFUJ,7plus8I,EU,IM,BOP,DEF,NSA,Q
SFZT,7plus8K,EU,IM,BOP,DEF,NSA,Q
SDPG,0plus1,EU,IM,BOP,DEF,NSA,Q
SMXD,84plus85,EU,IM,BOP,DEF,NSA,Q
SMGJ,04plus08,EU,IM,BOP,DEF,NSA,Q
SMAJ,87plus88C,EU,IM,BOP,DEF,NSA,Q
SMEJ,87plus88K,EU,IM,BOP,DEF,NSA,Q
LKVB,TminusO,EU,IM,BOP,DEF,NSA,Q
SEXP,6minusPS,EU,IM,BOP,DEF,NSA,Q
SIVX,57plus58,EU,IM,BOP,DEF,NSA,Q
SGMS,5minus8,EU,IM,BOP,DEF,NSA,Q
SETP,5plus6,EU,IM,BOP,DEF,NSA,Q
SFKH,7plus8,EU,IM,BOP,DEF,NSA,Q
SDVI,2plus4,EU,IM,BOP,DEF,NSA,Q
SMZD,87plus88,EU,IM,BOP,DEF,NSA,Q
SMCJ,87plus88I,EU,IM,BOP,DEF,NSA,Q
SJTV,68minusS,EU,IM,BOP,DEF,NSA,Q
SDDV,TminusE,EU,IM,BOP,DEF,NSA,Q
SHCM,TminusOE,EU,IM,BOP,DEF,NSA,Q
SMQP,71minus77,EU,IM,BOP,DEF,NSA,Q
SIXX,56plus59,EU,IM,BOP,DEF,NSA,Q
SGFM,792and3,EU,IM,BOP,DEF,NSA,Q
SFON,7plus8C,EU,IM,BOP,IDEF,NSA,Q
SFTX,7plus8I,EU,IM,BOP,IDEF,NSA,Q
SFZH,7plus8K,EU,IM,BOP,IDEF,NSA,Q
SDOU,0plus1,EU,IM,BOP,IDEF,NSA,Q
LKUR,TminusO,EU,IM,BOP,IDEF,NSA,Q
SEXD,6minusPS,EU,IM,BOP,IDEF,NSA,Q
SGMI,5minus8,EU,IM,BOP,IDEF,NSA,Q
SETF,5plus6,EU,IM,BOP,IDEF,NSA,Q
SFJX,7plus8,EU,IM,BOP,IDEF,NSA,Q
SDUW,2plus4,EU,IM,BOP,IDEF,NSA,Q
SDDK,TminusE,EU,IM,BOP,IDEF,NSA,Q
SHBZ,TminusOE,EU,IM,BOP,IDEF,NSA,Q
SGFA,792and3,EU,IM,BOP,IDEF,NSA,Q
SFOO,7plus8C,EU,IM,BOP,IDEF,SA,Q
