cdid,COMMODITY,AREA,DIRECTION,BASIS,PRICE,SEASADJ,PERIOD
SDSX,2plus4,EU,BAL,BOP,CP,NSA,Q
SGLO,5minus8,EU,BAL,BOP,CP,NSA,Q
SESL,5plus6,EU,BAL,BOP,CP,NSA,Q
SFJC,7plus8,EU,BAL,BOP,CP,NSA,Q
LKTX,TminusO,EU,BAL,BOP,CP,NSA,Q
SDMS,0plus1,EU,BAL,BOP,CP,NSA,Q
SDTB,2plus4,EU,BAL,BOP,CP,SA,Q
SGLP,5minus8,EU,BAL,BOP,CP,SA,Q
SESM,5plus6,EU,BAL,BOP,CP,SA,Q
SFJD,7plus8,EU,BAL,BOP,CP,SA,Q
SDCR,TminusE,EU,BAL,BOP,CP,SA,Q
LKTY,TminusO,EU,BAL,BOP,CP,SA,Q
SHBF,TminusOE,EU,BAL,BOP,CP,SA,Q
SDMV,0plus1,EU,BAL,BOP,CP,SA,Q
LKVJ,TminusO,EU,BAL,BOP,DEF,NSA,Q
SMFY,04plus08,EU,EX,OTS,CP,NSA,Q
SDNA,0plus1,EU,EX,OTS,CP,NSA,Q
SFMP,7plus8C,EU,EX,OTS,CP,NSA,Q
SFSI,7plus8I,EU,EX,OTS,CP,NSA,Q
SFXS,7plus8K,EU,EX,OTS,CP,NSA,Q
SMWS,84plus85,EU,EX,OTS,CP,NSA,Q
SLZY,87plus88C,EU,EX,OTS,CP,NSA,Q
SMBY,87plus88K,EU,EX,OTS,CP,NSA,Q
SJTK,68minusS,EU,EX,OTS,CP,NSA,Q
LKUM,TminusO,EU,EX,OTS,CP,NSA,Q
SEVO,6minusPS,EU,EX,OTS,CP,NSA,Q
SGMD,5minus8,EU,EX,OTS,CP,NSA,Q
SDTG,2plus4,EU,EX,OTS,CP,NSA,Q
SETA,5plus6,EU,EX,OTS,CP,NSA,Q
SIVM,57plus58,EU,EX,OTS,CP,NSA,Q
SFJS,7plus8,EU,EX,OTS,CP,NSA,Q
SMDY,87plus88I,EU,EX,OTS,CP,NSA,Q
SMYS,87plus88,EU,EX,OTS,CP,NSA,Q
SDDF,TminusE,EU,EX,OTS,CP,NSA,Q
SHBT,TminusOE,EU,EX,OTS,CP,NSA,Q
SIXM,56plus59,EU,EX,OTS,CP,NSA,Q
SGDG,792and3,EU,EX,OTS,CP,NSA,Q
SMGA,04plus08,EU,EX,OTS,CVM,NSA,Q
SDNB,0plus1,EU,EX,OTS,CVM,NSA,Q
SFMQ,7plus8C,EU,EX,OTS,CVM,NSA,Q
SFSJ,7plus8I,EU,EX,OTS,CVM,NSA,Q
SFXT,7plus8K,EU,EX,OTS,CVM,NSA,Q
