cdid,country,direction,basis,unit,adjustment,commodity,decimals
CHMY,austria,exports,bop,cp,sa,,0
CHMZ,finland,exports,bop,cp,sa,,0
CHNA,sweden,exports,bop,cp,sa,,0
CHNB,austria,imports,bop,cp,sa,,0
CHNC,finland,imports,bop,cp,sa,,0
CHND,sweden,imports,bop,cp,sa,,0
CHNE,netherlands,balance,bop,cp,sa,,0
CHNG,denmark,balance,bop,cp,sa,,0
CHNI,greece,balance,bop,cp,sa,,0
CHNJ,portugal,balance,bop,cp,sa,,0
CHNM,spain,balance,bop,cp,sa,,0
CHNO,italy,exports,bop,cp,sa,,0
CHNP,netherlands,exports,bop,cp,sa,,0
CHNR,denmark,exports,bop,cp,sa,,0
CHNT,greece,exports,bop,cp,sa,,0
CHNU,portugal,exports,bop,cp,sa,,0
CHNV,spain,exports,bop,cp,sa,,0
CHNW,italy,imports,bop,cp,sa,,0
CHNX,netherlands,imports,bop,cp,sa,,0
CHNZ,denmark,imports,bop,cp,sa,,0
CHOB,greece,imports,bop,cp,sa,,0
CHOC,portugal,imports,bop,cp,sa,,0
CHOD,spain,imports,bop,cp,sa,,0
CHOE,italy,balance,bop,cp,sa,,0
CHVG,austria,balance,bop,cp,sa,,0
CHVH,finland,balance,bop,cp,sa,,0
CHVI,sweden,balance,bop,cp,sa,,0
CPAV,ww,balance,bop,cp,sa,,0
CPLX,ww,exports,bop,cp,sa,,0
CPLY,ww,imports,bop,cp,sa,,0
CPLZ,ww,balance,bop,cp,sa,,0
CQER,ww,balance,bop,cp,sa,,0
CRAB,ww,balance,bop,cp,sa,,0
CRAH,ww,balance,bop,cp,sa,,0
CSCA,ww,balance,bop,cp,sa,,0
CSCE,ww,exports,bop,cp,sa,,0
CSCF,ww,exports,bop,cp,sa,,0
CSCG,ww,exports,bop,cp,sa,,0
CSCN,ww,exports,bop,cp,sa,,0
CSCP,ww,exports,bop,cp,sa,,0
CSCR,ww,imports,bop,cp,sa,,0
CSCS,ww,imports,bop,cp,sa,,0
CSCV,ww,imports,bop,cp,sa,,0
CSDR,ww,imports,bop,cp,sa,,0
CSDS,ww,imports,bop,cp,sa,,0
CTSL,ww,terms-of-trade,bop,idef,sa,,1
CTUZ,eu,balance,bop,cp,sa,,0
CTVA,eu,balance,bop,cp,sa,,0
CTVB,eu,balance,bop,cp,sa,,0
CTVC,eu,balance,bop,cp,sa,,0
CTVD,eu,balance,bop,cp,sa,,0
CTVE,eu,balance,bop,cp,sa,,0
CTVF,eu,balance,bop,cp,sa,,0
CTVG,eu,balance,bop,cp,sa,,0
CTVH,non-eu,balance,bop,cp,sa,,0
CTVI,non-eu,balance,bop,cp,sa,,0
CTVJ,non-eu,balance,bop,cp,sa,,0
CTVK,non-eu,balance,bop,cp,sa,,0
CTVL,non-eu,balance,bop,cp,sa,,0
CTVM,non-eu,balance,bop,cp,sa,,0
CTVN,non-eu,balance,bop,cp,sa,,0
CTVO,non-eu,balance,bop,cp,sa,,0
CTVP,ww,exports,bop,cp,sa,,0
CTVQ,ww,imports,bop,cp,sa,,0
CTVR,ww,balance,bop,cp,sa,,0
CTVS,ww,balance,bop,cvm,sa,,0
CTVT,eu,balance,bop,cvm,sa,,0
CTVU,non-eu,balance,bop,cvm,sa,,0
CTVV,ww,balance,bop,cvm,sa,,0
CTVW,ww,balance,bop,cvm,sa,,0
CTVX,ww,balance,bop,cvm,sa,,0
CTVY,ww,balance,bop,cvm,sa,,0
CTVZ,ww,balance,bop,cvm,sa,,0
CTWA,ww,balance,bop,cvm,sa,,0
CTWB,ww,balance,bop,cvm,sa,,0
CTWC,ww,balance,bop,cvm,sa,,0
CTWD,ww,balance,bop,cvm,sa,,0
CTWE,ww,balance,bop,cvm,sa,,0
CTWG,ww,exports,bop,idef,sa,,1
CTWH,ww,imports,bop,idef,sa,,1
CTWJ,ww,exports,bop,idef,sa,,1
CTWK,ww,imports,bop,idef,sa,,1
CTWN,eu,exports,bop,idef,sa,,1
CTWO,eu,imports,bop,idef,sa,,1
CTWR,eu,exports,bop,idef,sa,,1
CTWS,eu,imports,bop,idef,sa,,1
CTWT,eu,imports,bop,idef,sa,,1
CTWU,eu,exports,bop,idef,sa,,1
CTWX,eu,exports,bop,idef,sa,,1
CTWY,eu,imports,bop,idef,sa,,1
CTXB,eu,exports,bop,idef,sa,,1
CTXC,eu,imports,bop,idef,sa,,1
CTXF,eu,exports,bop,idef,sa,,1
CTXG,eu,imports,bop,idef,sa,,1
CTXH,eu,imports,bop,idef,sa,,1
CTXI,eu,exports,bop,idef,sa,,1
CTXL,non-eu,exports,bop,idef,sa,,1
CTXM,non-eu,imports,bop,idef,sa,,1
CTXO,non-eu,exports,bop,idef,sa,,1
CTXP,non-eu,imports,bop,idef,sa,,1
CTXS,eu,balance,bop,cvm,sa,,0
CTXT,eu,balance,bop,cvm,sa,,0
CTXU,eu,balance,bop,cvm,sa,,0
CTXV,eu,balance,bop,cvm,sa,,0
CTXW,eu,balance,bop,cvm,sa,,0
CTXX,eu,balance,bop,cvm,sa,,0
CTXY,eu,balance,bop,cvm,sa,,0
CTXZ,eu,balance,bop,cvm,sa,,0
CTYA,eu,balance,bop,cvm,sa,,0
CTYB,eu,balance,bop,cvm,sa,,0
CTYD,non-eu,balance,bop,cvm,sa,,0
CTYE,non-eu,balance,bop,cvm,sa,,0
CTYG,non-eu,balance,bop,cvm,sa,,0
CTYH,non-eu,balance,bop,cvm,sa,,0
CTYI,non-eu,balance,bop,cvm,sa,,0
CTYJ,non-eu,balance,bop,cvm,sa,,0
CTYK,non-eu,balance,bop,cvm,sa,,0
CTYL,non-eu,balance,bop,cvm,sa,,0
CTYM,non-eu,balance,bop,cvm,sa,,0
CTYN,non-eu,balance,bop,cvm,sa,,0
CTYO,non-eu,exports,bop,idef,sa,,1
CTYP,non-eu,imports,bop,idef,sa,,1
CTYS,non-eu,exports,bop,idef,sa,,1
CTYT,non-eu,imports,bop,idef,sa,,1
CTYW,non-eu,exports,bop,idef,sa,,1
CTYX,non-eu,imports,bop,idef,sa,,1
CTZA,non-eu,exports,bop,idef,sa,,1
CTZB,non-eu,imports,bop,idef,sa,,1
CTZD,non-eu,exports,bop,idef,sa,,1
CTZE,non-eu,imports,bop,idef,sa,,1
E2XQ,croatia,exports,bop,cp,sa,,0
E4ZN,croatia,imports,bop,cp,sa,,0
E5GB,croatia,balance,bop,cp,sa,,0
EDHK,ww,exports,bop,idef,sa,,1
EDHL,ww,imports,bop,idef,sa,,1
EDHM,ww,exports,bop,idef,sa,,1
EDHN,ww,imports,bop,idef,sa,,1
EDHO,ww,imports,bop,idef,sa,,1
EDHP,ww,exports,bop,idef,sa,,1
EDHS,ww,exports,bop,idef,sa,,1
EDHT,ww,imports,bop,idef,sa,,1
EDHW,ww,exports,bop,idef,sa,,1
EDHX,ww,imports,bop,idef,sa,,1
