cdid,country,direction,basis,unit,adjustment,commodity,decimals
JZEP,eu,exports,bop,cvm,sa,,0
JZFC,eu,imports,bop,cvm,sa,,0
JZFP,non-eu,exports,bop,cvm,sa,,0
JZIF,non-eu,imports,bop,cvm,sa,,0
JZIY,eu,exports,bop,cvm,sa,,0
JZKA,eu,imports,bop,cvm,sa,,0
JZMR,non-eu,exports,bop,cvm,sa,,0
JZNE,non-eu,imports,bop,cvm,sa,,0
JZNR,eu,exports,bop,cvm,sa,,0
JZOE,eu,imports,bop,cvm,sa,,0
JZOR,non-eu,exports,bop,cvm,sa,,0
JZPE,non-eu,imports,bop,cvm,sa,,0
JZPR,eu,exports,bop,cvm,sa,,0
JZQE,eu,imports,bop,cvm,sa,,0
JZQR,non-eu,exports,bop,cvm,sa,,0
JZRE,non-eu,imports,bop,cvm,sa,,0
JZRR,eu,exports,bop,cvm,sa,,0
JZSE,eu,imports,bop,cvm,sa,,0
JZSR,non-eu,exports,bop,cvm,sa,,0
JZTE,non-eu,imports,bop,cvm,sa,,0
JZTR,eu,exports,bop,cvm,sa,,0
JZUE,eu,imports,bop,cvm,sa,,0
JZUR,non-eu,exports,bop,cvm,sa,,0
JZVE,non-eu,imports,bop,cvm,sa,,0
JZVR,eu,exports,bop,cvm,sa,,0
JZWE,eu,imports,bop,cvm,sa,,0
JZWR,non-eu,exports,bop,cvm,sa,,0
JZXE,non-eu,imports,bop,cvm,sa,,0
JZXS,eu,exports,bop,cvm,sa,,0
JZYF,eu,imports,bop,cvm,sa,,0
JZYS,non-eu,exports,bop,cvm,sa,,0
L87K,non-eu,balance,bop,cp,sa,,0
L87M,non-eu,exports,bop,cp,sa,,0
L87O,non-eu,imports,bop,cp,sa,,0
L87Q,eu,balance,bop,cp,sa,,0
L87S,eu,exports,bop,cp,sa,,0
L87U,eu,imports,bop,cp,sa,,0
LGBW,non-eu,imports,bop,cvm,sa,,0
LGCN,eu,exports,bop,cvm,sa,,0
LGDF,eu,imports,bop,cvm,sa,,0
LGEB,non-eu,exports,bop,cvm,sa,,0
LGEU,non-eu,imports,bop,cvm,sa,,0
LGFM,eu,exports,bop,cvm,sa,,0
LGFZ,eu,imports,bop,cvm,sa,,0
LGGM,non-eu,exports,bop,cvm,sa,,0
LGGZ,non-eu,imports,bop,cvm,sa,,0
LGHM,eu,exports,bop,cvm,sa,,0
LJDN,eu,imports,bop,cvm,sa,,0
LJVG,non-eu,exports,bop,cvm,sa,,0
LKBY,non-eu,imports,bop,cvm,sa,,0
LKTY,eu,balance,bop,cp,sa,,0
LKUA,eu,exports,bop,idef,sa,,1
LKUC,eu,exports,bop,cp,sa,,0
LKUF,eu,exports,bop,cvm,sa,,0
LKUS,eu,imports,bop,idef,sa,,1
LKUU,eu,imports,bop,cp,sa,,0
LKUX,eu,imports,bop,cvm,sa,,0
LKVL,non-eu,balance,bop,cp,sa,,0
LKVN,non-eu,exports,bop,idef,sa,,1
LKVQ,non-eu,exports,bop,cp,sa,,0
LKVT,non-eu,exports,bop,cvm,sa,,0
LKWG,non-eu,imports,bop,idef,sa,,1
LKWJ,non-eu,imports,bop,cp,sa,,0
LKWM,non-eu,imports,bop,cvm,sa,,0
LKYH,eu,exports,bop,cvm,sa,,0
LMKQ,eu,imports,bop,cvm,sa,,0
LNJR,non-eu,exports,bop,cvm,sa,,0
LNOO,non-eu,imports,bop,cvm,sa,,0
LNPB,eu,exports,bop,cvm,sa,,0
LOBA,eu,imports,bop,cvm,sa,,0
LOBN,non-eu,exports,bop,cvm,sa,,0
LOBY,non-eu,imports,bop,cvm,sa,,0
LQAD,ww,exports,bop,cp,nsa,,0
LQBL,ww,imports,bop,cp,nsa,,0
LQCT,ww,balance,bop,cp,nsa,,0
MBBK,eu,exports,bop,cvm,sa,,0
MBBX,eu,imports,bop,cvm,sa,,0
MBCK,non-eu,exports,bop,cvm,sa,,0
MBCX,non-eu,imports,bop,cvm,sa,,0
MBDM,eu,exports,bop,cvm,sa,,0
MBDZ,eu,imports,bop,cvm,sa,,0
MBGV,non-eu,exports,bop,cvm,sa,,0
MBHI,non-eu,imports,bop,cvm,sa,,0
N3C4,emu-19,balance,bop,cp,sa,,0
N3C5,emu-19,exports,bop,cp,sa,,0
N3C6,emu-19,imports,bop,cp,sa,,0
OCCP,ww,exports,bop,cvm,sa,,0
OCCY,ww,exports,bop,cvm,sa,,0
ODUM,ww,exports,bop,cvm,sa,,0
ODUS,ww,exports,bop,cvm,sa,,0
OEAF,ww,exports,bop,cvm,sa,,0
OEAL,ww,exports,bop,cvm,sa,,0
OEAY,ww,exports,bop,cvm,sa,,0
OEBB,ww,exports,bop,cvm,sa,,0
OEBC,ww,exports,bop,cvm,sa,,0
OEBD,ww,exports,bop,cvm,sa,,0
OEDZ,ww,exports,bop,cvm,sa,,0
OEEV,ww,exports,bop,cvm,sa,,0
OEEW,ww,exports,bop,cvm,sa,,0
OEEX,ww,exports,bop,cvm,sa,,0
OEPN,ww,exports,bop,cvm,sa,,0
OEPO,ww,exports,bop,cvm,sa,,0
OEPP,ww,exports,bop,cvm,sa,,0
OEPQ,ww,exports,bop,cvm,sa,,0
OEPR,ww,exports,bop,cvm,sa,,0
OEPS,ww,exports,bop,cvm,sa,,0
OEQA,ww,exports,bop,cvm,sa,,0
OEQV,ww,exports,bop,cvm,sa,,0
OFNN,ww,imports,bop,cvm,nsa,,0
OGLF,ww,exports,bop,cvm,sa,,0
OGRL,ww,exports,bop,cvm,sa,,0
OGRM,ww,exports,bop,cvm,sa,,0
OGRN,ww,exports,bop,cvm,sa,,0
OGRO,ww,exports,bop,cvm,sa,,0
OGRP,ww,exports,bop,cvm,sa,,0
OGRQ,ww,exports,bop,cvm,sa,,0
OGSC,ww,exports,bop,cvm,sa,,0
OGSD,ww,exports,bop,cvm,sa,,0
OGSE,ww,exports,bop,cvm,sa,,0
OGSF,ww,exports,bop,cvm,sa,,0
OGSG,ww,exports,bop,cvm,sa,,0
OGSH,ww,imports,bop,cvm,sa,,0
OGSI,ww,imports,bop,cvm,sa,,0
OGSJ,ww,imports,bop,cvm,sa,,0
OGSK,ww,imports,bop,cvm,sa,,0
OGSL,ww,imports,bop,cvm,sa,,0
OGSM,ww,imports,bop,cvm,sa,,0
OGSN,ww,imports,bop,cvm,sa,,0
OGSO,ww,imports,bop,cvm,sa,,0
OGSP,ww,imports,bop,cvm,sa,,0
OGSQ,ww,imports,bop,cvm,sa,,0
OGSR,ww,imports,bop,cvm,sa,,0
OGSS,ww,imports,bop,cvm,sa,,0
OGST,ww,imports,bop,cvm,sa,,0
OGSU,ww,imports,bop,cvm,sa,,0
OGSV,ww,imports,bop,cvm,sa,,0
OGSW,ww,imports,bop,cvm,sa,,0
OGSX,ww,imports,bop,cvm,sa,,0
OGSY,ww,imports,bop,cvm,sa,,0
OGSZ,ww,imports,bop,cvm,sa,,0
OGTA,ww,imports,bop,cvm,sa,,0
OGTB,ww,imports,bop,cvm,sa,,0
OGTC,ww,imports,bop,cvm,sa,,0
OGTD,ww,imports,bop,cvm,sa,,0
OGTE,ww,imports,bop,cvm,sa,,0
OGTF,ww,imports,bop,cvm,sa,,0
OGTG,ww,imports,bop,cvm,sa,,0
OGTH,ww,imports,bop,cvm,sa,,0
OGTI,ww,imports,bop,cvm,sa,,0
OGTJ,ww,imports,bop,cvm,sa,,0
OGTK,ww,imports,bop,cvm,sa,,0
OGTL,ww,imports,bop,cvm,sa,,0
OGTM,ww,imports,bop,cvm,sa,,0
OGTN,ww,imports,bop,cvm,sa,,0
OGTO,ww,imports,bop,cvm,sa,,0
OKPU,ww,exports,bop,cvm,sa,,0
OKPV,ww,exports,bop,cvm,sa,,0
OKPW,ww,exports,bop,cvm,sa,,0
OKPX,ww,exports,bop,cvm,sa,,0
OKPY,ww,exports,bop,cvm,sa,,0
OKPZ,ww,exports,bop,cvm,sa,,0
OKQA,ww,exports,bop,cvm,sa,,0
OKQB,ww,exports,bop,cvm,sa,,0
OKQC,ww,exports,bop,cvm,sa,,0
OKQD,ww,exports,bop,cvm,sa,,0
OKQE,ww,exports,bop,cvm,sa,,0
OKQF,ww,exports,bop,cvm,sa,,0
OKQG,ww,exports,bop,cvm,sa,,0
OKQH,ww,exports,bop,cvm,sa,,0
OKQJ,ww,exports,bop,cvm,sa,,0
OKQL,ww,exports,bop,cvm,sa,,0
OKQM,ww,exports,bop,cvm,sa,,0
OKQN,ww,exports,bop,cvm,sa,,0
OKQO,ww,exports,bop,cvm,sa,,0
OKQP,ww,exports,bop,cvm,sa,,0
OKQQ,ww,exports,bop,cvm,sa,,0
OKQT,ww,exports,bop,cvm,sa,,0
OKQU,ww,exports,bop,cvm,sa,,0
OKQV,ww,exports,bop,cvm,sa,,0
OKQW,ww,exports,bop,cvm,sa,,0
OKQX,ww,exports,bop,cvm,sa,,0
OKQY,ww,exports,bop,cvm,sa,,0
OKQZ,ww,exports,bop,cvm,sa,,0
OKRA,ww,exports,bop,cvm,sa,,0
OKRB,ww,exports,bop,cvm,sa,,0
OKRC,ww,exports,bop,cvm,sa,,0
OKRD,ww,exports,bop,cvm,sa,,0
OKRE,ww,exports,bop,cvm,sa,,0
OKRF,ww,exports,bop,cvm,sa,,0
OKRG,ww,imports,bop,cvm,sa,,0
OKRH,ww,imports,bop,cvm,sa,,0
OKRI,ww,imports,bop,cvm,sa,,0
OKRJ,ww,imports,bop,cvm,sa,,0
OKRK,ww,imports,bop,cvm,sa,,0
OKRL,ww,imports,bop,cvm,sa,,0
OKRM,ww,imports,bop,cvm,sa,,0
OKRN,ww,imports,bop,cvm,sa,,0
OKRO,ww,imports,bop,cvm,sa,,0
OKRP,ww,imports,bop,cvm,sa,,0
OKRQ,ww,imports,bop,cvm,sa,,0
OKRR,ww,imports,bop,cvm,sa,,0
OKRS,ww,imports,bop,cvm,sa,,0
OKRT,ww,imports,bop,cvm,sa,,0
OKRV,ww,imports,bop,cvm,sa,,0
OKRX,ww,imports,bop,cvm,sa,,0
OKRY,ww,imports,bop,cvm,sa,,0
OKRZ,ww,imports,bop,cvm,sa,,0
OKSA,ww,imports,bop,cvm,sa,,0
OKSB,ww,imports,bop,cvm,sa,,0
OKSC,ww,imports,bop,cvm,sa,,0
OKSF,ww,imports,bop,cvm,sa,,0
OKSG,ww,imports,bop,cvm,sa,,0
OKSH,ww,imports,bop,cvm,sa,,0
OKSI,ww,imports,bop,cvm,sa,,0
OKSJ,ww,imports,bop,cvm,sa,,0
OKSK,ww,imports,bop,cvm,sa,,0
OKSL,ww,imports,bop,cvm,sa,,0
OKSM,ww,imports,bop,cvm,sa,,0
OKSN,ww,imports,bop,cvm,sa,,0
OKSO,ww,imports,bop,cvm,sa,,0
OKSP,ww,imports,bop,cvm,sa,,0
OKSR,ww,imports,bop,cvm,sa,,0
OKSS,ww,imports,bop,cvm,sa,,0
OMSE,ww,exports,bop,cvm,sa,,0
OMSF,ww,imports,bop,cvm,sa,,0
OMSG,ww,exports,bop,cvm,sa,,0
OMSH,ww,imports,bop,cvm,sa,,0
OMUB,ww,imports,bop,idef,sa,,1
QALC,hungary,exports,bop,cp,sa,,0
QALD,hungary,imports,bop,cp,sa,,0
QALE,hungary,balance,bop,cp,sa,,0
QALL,egypt,exports,bop,cp,sa,,0
QALM,egypt,imports,bop,cp,sa,,0
QALN,egypt,balance,bop,cp,sa,,0
QALU,ww,exports,bop,cp,sa,,0
QALV,ww,imports,bop,cp,sa,,0
QALW,ww,balance,bop,cp,sa,,0
QALX,ww,exports,bop,cp,sa,,0
QALY,ww,imports,bop,cp,sa,,0
QALZ,ww,balance,bop,cp,sa,,0
QATB,kuwait,exports,bop,cp,sa,,0
QATC,kuwait,imports,bop,cp,sa,,0
QATD,kuwait,balance,bop,cp,sa,,0
SDAU,eu,exports,bop,cvm,sa,,0
SDBI,eu,imports,bop,cvm,sa,,0
SDBV,non-eu,exports,bop,cvm,sa,,0
SDCI,non-eu,imports,bop,cvm,sa,,0
SDCR,eu,balance,bop,cp,sa,,0
SDCT,eu,exports,bop,idef,sa,,1
SDCV,eu,exports,bop,cp,sa,,0
SDCY,eu,exports,bop,cvm,sa,,0
SDDL,eu,imports,bop,idef,sa,,1
SDDO,eu,imports,bop,cp,sa,,0
SDDR,eu,imports,bop,cvm,sa,,0
SDED,non-eu,balance,bop,cp,sa,,0
SDEF,non-eu,exports,bop,idef,sa,,1
SDEH,non-eu,exports,bop,cp,sa,,0
SDEK,non-eu,exports,bop,cvm,sa,,0
SDEX,non-eu,imports,bop,idef,sa,,1
SDEZ,non-eu,imports,bop,cp,sa,,0
SDFC,non-eu,imports,bop,cvm,sa,,0
SDFP,eu,balance,bop,cp,sa,,0
SDFR,eu,exports,bop,idef,sa,,1
SDFT,eu,exports,bop,cp,sa,,0
SDFW,eu,exports,bop,cvm,sa,,0
SDJX,eu,imports,bop,idef,sa,,1
SDJZ,eu,imports,bop,cp,sa,,0
SDKC,eu,imports,bop,cvm,sa,,0
SDKP,non-eu,balance,bop,cp,sa,,0
SDKY,non-eu,exports,bop,idef,sa,,1
SDLA,non-eu,exports,bop,cp,sa,,0
SDLE,non-eu,exports,bop,cvm,sa,,0
SDLR,non-eu,imports,bop,idef,sa,,1
SDLT,non-eu,imports,bop,cp,sa,,0
SDLW,non-eu,imports,bop,cvm,sa,,0
SDMV,eu,balance,bop,cp,sa,,0
SDNI,eu,exports,bop,cp,sa,,0
SDNM,eu,exports,bop,cvm,sa,,0
SDOY,eu,imports,bop,cp,sa,,0
SDPC,eu,imports,bop,cvm,sa,,0
SDPW,non-eu,balance,bop,cp,sa,,0
SDQL,non-eu,exports,bop,cp,sa,,0
SDQP,non-eu,exports,bop,cvm,sa,,0
SDSA,non-eu,imports,bop,cp,sa,,0
SDSE,non-eu,imports,bop,cvm,sa,,0
SDTB,eu,balance,bop,cp,sa,,0
SDTO,eu,exports,bop,cp,sa,,0
SDTS,eu,exports,bop,cvm,sa,,0
SDVA,eu,imports,bop,cp,sa,,0
SDVE,eu,imports,bop,cvm,sa,,0
SDVX,non-eu,balance,bop,cp,sa,,0
SDWK,non-eu,exports,bop,cp,sa,,0
SDWO,non-eu,exports,bop,cvm,sa,,0
SDXV,non-eu,imports,bop,cp,sa,,0
SDXZ,non-eu,imports,bop,cvm,sa,,0
SDYZ,eu,exports,bop,idef,sa,,1
SDZE,eu,exports,bop,cp,sa,,0
SDZI,eu,exports,bop,cvm,sa,,0
SEAN,eu,imports,bop,idef,sa,,1
SEAS,eu,imports,bop,cp,sa,,0
SEAW,eu,imports,bop,cvm,sa,,0
SEBY,non-eu,exports,bop,idef,sa,,1
SECD,non-eu,exports,bop,cp,sa,,0
SECH,non-eu,exports,bop,cvm,sa,,0
SEDN,non-eu,imports,bop,idef,sa,,0
SEDN,non-eu,imports,bop,idef,sa,,1
SEDS,non-eu,imports,bop,cp,sa,,0
SEDW,non-eu,imports,bop,cvm,sa,,0
SEEZ,eu,exports,bop,idef,sa,,1
SEFC,eu,exports,bop,cp,sa,,0
SEFG,eu,exports,bop,cvm,sa,,0
SEGK,eu,imports,bop,idef,sa,,1
SEGN,eu,imports,bop,cp,sa,,0
SEGR,eu,imports,bop,cvm,sa,,0
SEHR,non-eu,exports,bop,idef,sa,,1
SEHU,non-eu,exports,bop,cp,sa,,0
SEHY,non-eu,exports,bop,cvm,sa,,0
SEJD,non-eu,imports,bop,idef,sa,,1
SEJG,non-eu,imports,bop,cp,sa,,0
SEJK,non-eu,imports,bop,cvm,sa,,0
SEKO,eu,exports,bop,idef,sa,,1
SEKR,eu,exports,bop,cp,sa,,0
SEKV,eu,exports,bop,cvm,sa,,0
SELZ,eu,imports,bop,idef,sa,,1
SEMC,eu,imports,bop,cp,sa,,0
SEMG,eu,imports,bop,cvm,sa,,0
SENG,non-eu,exports,bop,idef,sa,,1
SENJ,non-eu,exports,bop,cp,sa,,0
SENN,non-eu,exports,bop,cvm,sa,,0
SEOR,non-eu,imports,bop,idef,sa,,1
SEOU,non-eu,imports,bop,cp,sa,,0
SEOY,non-eu,imports,bop,cvm,sa,,0
SESM,eu,balance,bop,cp,sa,,0
SESO,eu,exports,bop,idef,sa,,1
SESQ,eu,exports,bop,cp,sa,,0
SEST,eu,exports,bop,cvm,sa,,0
SETG,eu,imports,bop,idef,sa,,1
SETI,eu,imports,bop,cp,sa,,0
SETL,eu,imports,bop,cvm,sa,,0
SETY,non-eu,balance,bop,cp,sa,,0
SEUA,non-eu,exports,bop,idef,sa,,1
SEUC,non-eu,exports,bop,cp,sa,,0
SEUF,non-eu,exports,bop,cvm,sa,,0
SEUS,non-eu,imports,bop,idef,sa,,0
SEUS,non-eu,imports,bop,idef,sa,,1
SEUU,non-eu,imports,bop,cp,sa,,0
SEUX,non-eu,imports,bop,cvm,sa,,0
SEWA,eu,exports,bop,cvm,sa,,0
SEXL,eu,imports,bop,cvm,sa,,0
SEYS,non-eu,exports,bop,cvm,sa,,0
SFAD,non-eu,imports,bop,cvm,sa,,0
SFBD,eu,exports,bop,idef,sa,,1
SFBK,eu,exports,bop,cvm,sa,,0
SFCO,eu,imports,bop,idef,sa,,1
SFCV,eu,imports,bop,cvm,sa,,0
SFDW,non-eu,exports,bop,idef,sa,,1
SFED,non-eu,exports,bop,cvm,sa,,0
SFFH,non-eu,imports,bop,idef,sa,,1
SFFO,non-eu,imports,bop,cvm,sa,,0
SFJD,eu,balance,bop,cp,sa,,0
SFJF,eu,exports,bop,idef,sa,,1
SFJH,eu,exports,bop,cp,sa,,0
SFJK,eu,exports,bop,cvm,sa,,0
SFJY,eu,imports,bop,idef,sa,,1
SFKA,eu,imports,bop,cp,sa,,0
SFKD,eu,imports,bop,cvm,sa,,0
SFKU,non-eu,balance,bop,cp,sa,,0
SFKW,non-eu,exports,bop,idef,sa,,1
SFKY,non-eu,exports,bop,cp,sa,,0
SFLC,non-eu,exports,bop,cvm,sa,,0
SFLP,non-eu,imports,bop,idef,sa,,1
SFLR,non-eu,imports,bop,cp,sa,,0
SFLU,non-eu,imports,bop,cvm,sa,,0
SFMU,eu,exports,bop,idef,sa,,1
SFNB,eu,exports,bop,cvm,sa,,0
SFOO,eu,imports,bop,idef,sa,,1
SFOV,eu,imports,bop,cvm,sa,,0
SFPV,non-eu,exports,bop,idef,sa,,1
SFQC,non-eu,exports,bop,cvm,sa,,0
SFRG,non-eu,imports,bop,idef,sa,,1
SFRN,non-eu,imports,bop,cvm,sa,,0
SFSN,eu,exports,bop,idef,sa,,1
SFSU,eu,exports,bop,cvm,sa,,0
SFTY,eu,imports,bop,idef,sa,,1
SFUF,eu,imports,bop,cvm,sa,,0
SFVF,non-eu,exports,bop,idef,sa,,1
SFVM,non-eu,exports,bop,cvm,sa,,0
SFWQ,non-eu,imports,bop,idef,sa,,1
SFWX,non-eu,imports,bop,cvm,sa,,0
SFXX,eu,exports,bop,idef,sa,,1
SFYE,eu,exports,bop,cvm,sa,,0
SFZI,eu,imports,bop,idef,sa,,1
SFZP,eu,imports,bop,cvm,sa,,0
SGAP,non-eu,exports,bop,idef,sa,,1
SGAW,non-eu,exports,bop,cvm,sa,,0
SGCB,non-eu,imports,bop,idef,sa,,1
SGCK,non-eu,imports,bop,cvm,sa,,0
SGDL,eu,exports,bop,idef,sa,,1
SGDS,eu-2004,ex,bop,cp,sa,,0
SGDX,eu,exports,bop,cvm,sa,,0
SGFB,eu,imports,bop,idef,sa,,1
SGFE,eu-2004,im,bop,cp,sa,,0
SGFI,eu,imports,bop,cvm,sa,,0
SGFZ,non-eu-2004,balance,bop,cp,sa,,0
SGGJ,non-eu,exports,bop,idef,sa,,1
SGGM,non-eu-2004,ex,bop,cp,sa,,0
SGGQ,non-eu,exports,bop,cvm,sa,,0
SGHU,non-eu,imports,bop,idef,sa,,1
SGHX,non-eu-2004,im,bop,cp,sa,,0
SGIB,non-eu,imports,bop,cvm,sa,,0
SGLP,eu,balance,bop,cp,sa,,0
SGLR,eu,exports,bop,idef,sa,,0
SGLR,eu,exports,bop,idef,sa,,1
SGLT,eu,exports,bop,cp,sa,,0
SGLW,eu,exports,bop,cvm,sa,,0
SGMJ,eu,imports,bop,idef,sa,,0
SGMJ,eu,imports,bop,idef,sa,,1
SGML,eu,imports,bop,cp,sa,,0
SGMO,eu,imports,bop,cvm,sa,,0
SGNB,non-eu,balance,bop,cp,sa,,0
SGND,non-eu,exports,bop,idef,sa,,1
SGNF,non-eu,exports,bop,cp,sa,,0
SGNI,non-eu,exports,bop,cvm,sa,,0
SGNV,non-eu,imports,bop,idef,sa,,1
SGNX,non-eu,imports,bop,cp,sa,,0
SGOA,non-eu,imports,bop,cvm,sa,,0
SGOO,eu,balance,bop,cp,sa,,0
SGOY,eu,exports,bop,idef,sa,,1
SGPB,eu,exports,bop,cp,sa,,0
SGPF,eu,exports,bop,cvm,sa,,0
SGQJ,eu,imports,bop,idef,sa,,1
SGQM,eu,imports,bop,cp,sa,,0
SGQQ,eu,imports,bop,cvm,sa,,0
SGRK,non-eu,balance,bop,cp,sa,,0
SGRU,non-eu,exports,bop,idef,sa,,1
SGRX,non-eu,exports,bop,cp,sa,,0
SGSB,non-eu,exports,bop,cvm,sa,,0
SGTG,non-eu,imports,bop,idef,sa,,1
SGTK,non-eu,imports,bop,cp,sa,,0
SGTO,non-eu,imports,bop,cvm,sa,,0
SGUS,eu,exports,bop,idef,sa,,1
SGVA,eu,exports,bop,cvm,sa,,0
SGWH,eu,imports,bop,idef,sa,,1
SGWO,eu,imports,bop,cvm,sa,,0
SGYA,non-eu,exports,bop,idef,sa,,1
SGYH,non-eu,exports,bop,cvm,sa,,0
SGZQ,non-eu,imports,bop,idef,sa,,1
SGZX,non-eu,imports,bop,cvm,sa,,0
SHBF,eu,balance,bop,cp,sa,,0
SHBH,eu,exports,bop,idef,sa,,1
SHBJ,eu,exports,bop,cp,sa,,0
SHBM,eu,exports,bop,cvm,sa,,0
SHCA,eu,imports,bop,idef,sa,,1
SHCC,eu,imports,bop,cp,sa,,0
SHCH,eu,imports,bop,cvm,sa,,0
SHCV,non-eu,balance,bop,cp,sa,,0
SHCY,non-eu,exports,bop,idef,sa,,1
SHDA,non-eu,exports,bop,cp,sa,,0
SHDD,non-eu,exports,bop,cvm,sa,,0
SHDS,non-eu,imports,bop,idef,sa,,1
SHDU,non-eu,imports,bop,cp,sa,,0
SHDX,non-eu,imports,bop,cvm,sa,,0
SHEM,eu,exports,bop,cp,sa,,0
SHEP,eu,exports,bop,cvm,sa,,0
SHEZ,eu,imports,bop,cp,sa,,0
SHFC,eu,imports,bop,cvm,sa,,0
SHFM,non-eu,exports,bop,cp,sa,,0
SHFP,non-eu,exports,bop,cvm,sa,,0
SHFZ,non-eu,imports,bop,cp,sa,,0
SHGC,non-eu,imports,bop,cvm,sa,,0
SHGM,eu,exports,bop,cp,sa,,0
SHGP,eu,exports,bop,cvm,sa,,0
SHGZ,eu,imports,bop,cp,sa,,0
SHHC,eu,imports,bop,cvm,sa,,0
SHHM,non-eu,exports,bop,cp,sa,,0
SHHP,non-eu,exports,bop,cvm,sa,,0
SHHZ,non-eu,imports,bop,cp,sa,,0
SHIC,non-eu,imports,bop,cvm,sa,,0
SHIN,eu,exports,bop,cp,sa,,0
SHIQ,eu,exports,bop,cvm,sa,,0
SHJB,eu,imports,bop,cp,sa,,0
SHJE,eu,imports,bop,cvm,sa,,0
SHJO,non-eu,exports,bop,cp,sa,,0
SHJR,non-eu,exports,bop,cvm,sa,,0
SHKB,non-eu,imports,bop,cp,sa,,0
SHKE,non-eu,imports,bop,cvm,sa,,0
SHKQ,eu-2004,ex,bop,cp,sa,,0
SHKT,eu,exports,bop,cvm,sa,,0
SHLD,eu-2004,im,bop,cp,sa,,0
SHLG,eu,imports,bop,cvm,sa,,0
SHLQ,non-eu-2004,ex,bop,cp,sa,,0
SHLT,non-eu,exports,bop,cvm,sa,,0
SHMD,non-eu-2004,im,bop,cp,sa,,0
SHMG,non-eu,imports,bop,cvm,sa,,0
SHMT,eu,exports,bop,cvm,sa,,0
SHNG,eu,imports,bop,cvm,sa,,0
SHNT,non-eu,exports,bop,cvm,sa,,0
SHOG,non-eu,imports,bop,cvm,sa,,0
SHOT,eu,exports,bop,cvm,sa,,0
SHPG,eu,imports,bop,cvm,sa,,0
SHPU,non-eu,exports,bop,cvm,sa,,0
SHQH,non-eu,imports,bop,cvm,sa,,0
SHRQ,eu,exports,bop,cvm,sa,,0
SHSE,eu,imports,bop,cvm,sa,,0
SHSR,non-eu,exports,bop,cvm,sa,,0
SHTJ,non-eu,imports,bop,cvm,sa,,0
SHTV,eu-2004,ex,bop,cp,sa,,0
SHTY,eu,exports,bop,cvm,sa,,0
SHUW,eu-2004,im,bop,cp,sa,,0
SHVD,eu,imports,bop,cvm,sa,,0
SHVS,non-eu-2004,ex,bop,cp,sa,,0
SHVV,non-eu,exports,bop,cvm,sa,,0
SHWF,non-eu-2004,im,bop,cp,sa,,0
SHWI,non-eu,imports,bop,cvm,sa,,0
SHWY,eu,exports,bop,cvm,sa,,0
SHXL,eu,imports,bop,cvm,sa,,0
SHYC,non-eu,exports,bop,cvm,sa,,0
SHYS,non-eu,imports,bop,cvm,sa,,0
SHZF,eu,exports,bop,cvm,sa,,0
SHZZ,eu,imports,bop,cvm,sa,,0
SIAM,non-eu,exports,bop,cvm,sa,,0
SIAZ,non-eu,imports,bop,cvm,sa,,0
SIBM,eu,exports,bop,cvm,sa,,0
SIBZ,eu,imports,bop,cvm,sa,,0
SICM,non-eu,exports,bop,cvm,sa,,0
SICZ,non-eu,imports,bop,cvm,sa,,0
SIFU,eu,exports,bop,cp,sa,,0
SIFX,eu,exports,bop,cvm,sa,,0
SIGH,eu,imports,bop,cp,sa,,0
SIGK,eu,imports,bop,cvm,sa,,0
SIGU,non-eu,exports,bop,cp,sa,,0
SIGX,non-eu,exports,bop,cvm,sa,,0
SIHH,non-eu,imports,bop,cp,sa,,0
SIHK,non-eu,imports,bop,cvm,sa,,0
SIHU,eu,balance,bop,cp,sa,,0
SIHW,eu,exports,bop,idef,sa,,1
SIHY,eu,exports,bop,cp,sa,,0
SIIB,eu,exports,bop,cvm,sa,,0
SIIO,eu,imports,bop,idef,sa,,1
SIIQ,eu,imports,bop,cp,sa,,0
SIIT,eu,imports,bop,cvm,sa,,0
SIJG,non-eu,balance,bop,cp,sa,,0
SIJI,non-eu,exports,bop,idef,sa,,1
SIJK,non-eu,exports,bop,cp,sa,,0
SIJN,non-eu,exports,bop,cvm,sa,,0
SIKA,non-eu,imports,bop,idef,sa,,1
SIKC,non-eu,imports,bop,cp,sa,,0
SIKF,non-eu,imports,bop,cvm,sa,,0
SIKS,eu-2004,ex,bop,cp,sa,,0
SIKV,eu,exports,bop,cvm,sa,,0
SILF,eu-2004,im,bop,cp,sa,,0
SILI,eu,imports,bop,cvm,sa,,0
SILS,non-eu-2004,ex,bop,cp,sa,,0
SILV,non-eu,exports,bop,cvm,sa,,0
SIMF,non-eu-2004,im,bop,cp,sa,,0
SIMI,non-eu,imports,bop,cvm,sa,,0
SIMX,eu,exports,bop,cvm,sa,,0
SINK,eu,imports,bop,cvm,sa,,0
SINY,non-eu,exports,bop,cvm,sa,,0
SIOL,non-eu,imports,bop,cvm,sa,,0
SIOY,eu,exports,bop,cvm,sa,,0
SIPL,eu,imports,bop,cvm,sa,,0
SIPY,non-eu,exports,bop,cvm,sa,,0
SIQL,non-eu,imports,bop,cvm,sa,,0
SIQV,eu,ex,bop,cp,sa,,0
SIQY,eu,exports,bop,cvm,sa,,0
SIRI,eu,im,bop,cp,sa,,0
SIRL,eu,imports,bop,cvm,sa,,0
SIRV,rw,ex,bop,cp,sa,,0
SIRY,non-eu,exports,bop,cvm,sa,,0
SISI,rw,im,bop,cp,sa,,0
